datetime,sheet_year,water_level_m,flow_m3s,sediment_obs_kgm3,year,sediment_model_kgm3,sediment_filled_flag,sediment_used_kgm3,sediment_flux_kg_s,month
2016-01-01 00:00:00,2016,42.79,357.0,0.825,2016,0.8711443932515963,False,0.825,294.525,1
2016-01-01 04:00:00,2016,42.800000000000004,363.0,,2016,0.8853728878218131,True,0.8853728878218131,321.39035827931815,1
2016-01-01 08:00:00,2016,42.800000000000004,363.0,0.796,2016,0.8853728878218131,False,0.796,288.94800000000004,1
2016-01-01 12:00:00,2016,42.81,368.0,,2016,0.8969807052210585,True,0.8969807052210585,330.08889952134956,1
2016-01-01 14:00:00,2016,42.84,384.0,,2016,0.9348837897699277,True,0.9348837897699277,358.9953752716522,1
2016-01-01 16:00:00,2016,42.800000000000004,363.0,,2016,0.8853728878218131,True,0.8853728878218131,321.39035827931815,1
2016-01-01 20:00:00,2016,42.77,346.0,,2016,0.8456083724503862,True,0.8456083724503862,292.58049686783363,1
2016-01-02 00:00:00,2016,42.78,351.0,,2016,0.8570137881174119,True,0.8570137881174119,300.8118396292116,1
2016-01-02 04:00:00,2016,42.77,346.0,,2016,0.8456083724503862,True,0.8456083724503862,292.58049686783363,1
2016-01-02 08:00:00,2016,42.78,351.0,0.84,2016,0.8570137881174119,False,0.84,294.84,1
2016-01-02 10:00:00,2016,42.81,368.0,,2016,0.8969807052210585,True,0.8969807052210585,330.08889952134956,1
2016-01-02 12:00:00,2016,42.79,357.0,,2016,0.8711443932515963,True,0.8711443932515963,310.9985483908199,1
2016-01-02 16:00:00,2016,42.79,357.0,,2016,0.8711443932515963,True,0.8711443932515963,310.9985483908199,1
2016-01-02 20:00:00,2016,42.71,309.0,,2016,0.7609405081574263,True,0.7609405081574263,235.13061702064473,1
2016-01-03 00:00:00,2016,42.7,304.0,,2016,0.7500983769253161,True,0.7500983769253161,228.0299065852961,1
2016-01-03 04:00:00,2016,42.72,315.0,,2016,0.7743529492025666,True,0.7743529492025666,243.92117899880847,1
2016-01-03 08:00:00,2016,42.76,340.0,0.672,2016,0.8316537562989699,False,0.672,228.48000000000002,1
2016-01-03 12:00:00,2016,42.79,357.0,,2016,0.8711443932515963,True,0.8711443932515963,310.9985483908199,1
2016-01-03 16:00:00,2016,42.78,351.0,,2016,0.8570137881174119,True,0.8570137881174119,300.8118396292116,1
2016-01-03 20:00:00,2016,42.730000000000004,321.0,,2016,0.7878713119289081,True,0.7878713119289081,252.9066911291795,1
2016-01-04 00:00:00,2016,42.75,334.0,,2016,0.8178007181555046,True,0.8178007181555046,273.1454398639385,1
2016-01-04 04:00:00,2016,42.72,315.0,,2016,0.7743529492025666,True,0.7743529492025666,243.92117899880847,1
2016-01-04 08:00:00,2016,42.7,304.0,0.651,2016,0.7500983769253161,False,0.651,197.904,1
2016-01-04 12:00:00,2016,42.74,329.0,,2016,0.8066094000478355,True,0.8066094000478355,265.3744926157379,1
2016-01-04 16:00:00,2016,42.72,315.0,,2016,0.7743529492025666,True,0.7743529492025666,243.92117899880847,1
2016-01-04 20:00:00,2016,42.72,315.0,,2016,0.7743529492025666,True,0.7743529492025666,243.92117899880847,1
2016-01-04 22:00:00,2016,42.68,293.0,,2016,0.7261871013394122,True,0.7261871013394122,212.7728206924478,1
2016-01-05 00:00:00,2016,42.72,315.0,,2016,0.7743529492025666,True,0.7743529492025666,243.92117899880847,1
2016-01-05 04:00:00,2016,42.74,329.0,,2016,0.8066094000478355,True,0.8066094000478355,265.3744926157379,1
2016-01-05 08:00:00,2016,42.730000000000004,321.0,0.693,2016,0.7878713119289081,False,0.693,222.45299999999997,1
2016-01-05 12:00:00,2016,42.75,334.0,,2016,0.8178007181555046,True,0.8178007181555046,273.1454398639385,1
2016-01-05 16:00:00,2016,42.730000000000004,321.0,,2016,0.7878713119289081,True,0.7878713119289081,252.9066911291795,1
2016-01-05 18:00:00,2016,42.76,340.0,,2016,0.8316537562989699,True,0.8316537562989699,282.76227714164975,1
2016-01-05 20:00:00,2016,42.76,340.0,,2016,0.8316537562989699,True,0.8316537562989699,282.76227714164975,1
2016-01-06 00:00:00,2016,42.78,351.0,,2016,0.8570137881174119,True,0.8570137881174119,300.8118396292116,1
2016-01-06 04:00:00,2016,42.75,334.0,,2016,0.8178007181555046,True,0.8178007181555046,273.1454398639385,1
2016-01-06 08:00:00,2016,42.77,346.0,0.734,2016,0.8456083724503862,False,0.734,253.964,1
2016-01-06 12:00:00,2016,42.77,346.0,,2016,0.8456083724503862,True,0.8456083724503862,292.58049686783363,1
2016-01-06 15:00:00,2016,42.79,383.0,,2016,0.9417068169599785,True,0.9417068169599785,360.6737108956718,1
2016-01-06 16:00:00,2016,42.77,373.0,,2016,0.9177233601641175,True,0.9177233601641175,342.3108133412158,1
2016-01-06 20:00:00,2016,42.78,378.0,,2016,0.9296872949006147,True,0.9296872949006147,351.4217974724324,1
2016-01-07 00:00:00,2016,42.79,383.0,,2016,0.9417068169599785,True,0.9417068169599785,360.6737108956718,1
2016-01-07 04:00:00,2016,42.78,378.0,,2016,0.9296872949006147,True,0.9296872949006147,351.4217974724324,1
2016-01-07 08:00:00,2016,42.78,378.0,0.711,2016,0.9296872949006147,False,0.711,268.758,1
2016-01-07 12:00:00,2016,42.79,383.0,,2016,0.9417068169599785,True,0.9417068169599785,360.6737108956718,1
2016-01-07 16:00:00,2016,42.79,383.0,,2016,0.9417068169599785,True,0.9417068169599785,360.6737108956718,1
2016-01-07 18:00:00,2016,42.81,392.0,,2016,0.963110085433976,True,0.963110085433976,377.5391534901186,1
2016-01-07 20:00:00,2016,42.77,373.0,,2016,0.9177233601641175,True,0.9177233601641175,342.3108133412158,1
2016-01-08 00:00:00,2016,42.78,378.0,,2016,0.9296872949006147,True,0.9296872949006147,351.4217974724324,1
2016-01-08 04:00:00,2016,42.78,378.0,,2016,0.9296872949006147,True,0.9296872949006147,351.4217974724324,1
2016-01-08 06:00:00,2016,42.77,373.0,,2016,0.9177233601641175,True,0.9177233601641175,342.3108133412158,1
2016-01-08 08:00:00,2016,42.79,383.0,0.92,2016,0.9417068169599785,False,0.92,352.36,1
2016-01-08 10:00:00,2016,42.84,407.0,,2016,0.9997275822589248,True,0.9997275822589248,406.88912597938236,1
2016-01-08 12:00:00,2016,42.81,392.0,,2016,0.963110085433976,True,0.963110085433976,377.5391534901186,1
2016-01-08 16:00:00,2016,42.84,407.0,,2016,0.9997275822589248,True,0.9997275822589248,406.88912597938236,1
2016-01-08 20:00:00,2016,42.82,397.0,,2016,0.975266669163849,True,0.975266669163849,387.18086765804804,1
2016-01-09 00:00:00,2016,42.83,402.0,,2016,0.9874730065510089,True,0.9874730065510089,396.9641486335056,1
2016-01-09 04:00:00,2016,42.81,392.0,,2016,0.963110085433976,True,0.963110085433976,377.5391534901186,1
2016-01-09 08:00:00,2016,42.81,392.0,0.952,2016,0.963110085433976,False,0.952,373.18399999999997,1
2016-01-09 12:00:00,2016,42.81,392.0,,2016,0.963110085433976,True,0.963110085433976,377.5391534901186,1
2016-01-09 16:00:00,2016,42.82,397.0,,2016,0.975266669163849,True,0.975266669163849,387.18086765804804,1
2016-01-09 20:00:00,2016,42.800000000000004,388.0,,2016,0.953780504249101,True,0.953780504249101,370.0668356486512,1
2016-01-09 22:00:00,2016,42.79,383.0,,2016,0.9417068169599785,True,0.9417068169599785,360.6737108956718,1
2016-01-10 00:00:00,2016,42.78,378.0,,2016,0.9296872949006147,True,0.9296872949006147,351.4217974724324,1
2016-01-10 02:00:00,2016,42.800000000000004,388.0,,2016,0.953780504249101,True,0.953780504249101,370.0668356486512,1
2016-01-10 04:00:00,2016,42.800000000000004,388.0,,2016,0.953780504249101,True,0.953780504249101,370.0668356486512,1
2016-01-10 08:00:00,2016,42.78,378.0,0.959,2016,0.9296872949006147,False,0.959,362.502,1
2016-01-10 12:00:00,2016,42.77,373.0,,2016,0.9177233601641175,True,0.9177233601641175,342.3108133412158,1
2016-01-10 16:00:00,2016,42.75,364.0,,2016,0.8966415562134298,True,0.8966415562134298,326.37752646168843,1
2016-01-10 20:00:00,2016,42.74,360.0,,2016,0.8874875152819037,True,0.8874875152819037,319.49550550148535,1
2016-01-10 22:00:00,2016,42.730000000000004,355.0,,2016,0.875717671589999,True,0.875717671589999,310.87977341444963,1
2016-01-11 00:00:00,2016,42.71,346.0,,2016,0.8549623771040462,True,0.8549623771040462,295.816982478,1
2016-01-11 02:00:00,2016,42.730000000000004,355.0,,2016,0.875717671589999,True,0.875717671589999,310.87977341444963,1
2016-01-11 04:00:00,2016,42.730000000000004,355.0,,2016,0.875717671589999,True,0.875717671589999,310.87977341444963,1
2016-01-11 08:00:00,2016,42.67,328.0,0.874,2016,0.8139988049311331,False,0.874,286.672,1
2016-01-11 12:00:00,2016,42.69,337.0,,2016,0.8343860549251487,True,0.8343860549251487,281.1881005097751,1
2016-01-11 16:00:00,2016,42.65,319.0,,2016,0.7938104536420018,True,0.7938104536420018,253.22553471179856,1
2016-01-11 20:00:00,2016,42.67,328.0,,2016,0.8139988049311331,True,0.8139988049311331,266.99160801741164,1
2016-01-12 00:00:00,2016,42.660000000000004,324.0,,2016,0.8051296103846249,True,0.8051296103846249,260.8619937646185,1
2016-01-12 04:00:00,2016,42.660000000000004,324.0,,2016,0.8051296103846249,True,0.8051296103846249,260.8619937646185,1
2016-01-12 06:00:00,2016,42.65,319.0,,2016,0.7938104536420018,True,0.7938104536420018,253.22553471179856,1
2016-01-12 08:00:00,2016,42.67,328.0,0.861,2016,0.8139988049311331,False,0.861,282.408,1
2016-01-12 12:00:00,2016,42.69,337.0,,2016,0.8343860549251487,True,0.8343860549251487,281.1881005097751,1
2016-01-12 16:00:00,2016,42.71,346.0,,2016,0.8549623771040462,True,0.8549623771040462,295.816982478,1
2016-01-12 18:00:00,2016,42.72,350.0,,2016,0.8640102231563457,True,0.8640102231563457,302.40357810472096,1
2016-01-12 20:00:00,2016,42.7,341.0,,2016,0.8433625965118666,True,0.8433625965118666,287.5866454105465,1
