distance_m,zero_integral_spatial_template_m_per_year
1820.0,-0.03006884823680196
1825.0,-0.08374959941569933
1830.0,-0.13390492684197902
1835.0,-0.1251420895569629
1840.0,-0.054243768499629405
1845.0,0.022450055641413634
1850.0,0.0266967725206547
1855.0,-0.03092277395815596
1860.0,-0.15079813165999886
1865.0,-0.2279625543136824
1870.0,-0.20123387491499
1875.0,-0.11867256615286204
1880.0,-0.04994834824472755
1885.0,-0.0718383218638499
1890.0,-0.20861268631827726
1895.0,-0.3591699906496764
1900.0,-0.4279360235090506
1905.0,-0.4031242902478509
1910.0,-0.3289488275558906
1915.0,-0.24231871295400007
1920.0,-0.13637816990163618
1925.0,-0.07709366061028564
1930.0,-0.06493661130330905
1935.0,-0.08362992850133008
1940.0,-0.05415767894349729
1945.0,-0.03601955929552449
1950.0,0.004002809875501757
1955.0,0.0014151565096483035
1960.0,-0.0016717866310082471
1965.0,-0.008015483933014843
1970.0,0.02311932138291243
1975.0,0.0867003627352054
1980.0,0.11336388629309968
1985.0,0.14087723407692862
1990.0,0.16508491787895632
1995.0,0.178833761139892
2000.0,0.14585123281962709
2005.0,0.1197111837057466
2010.0,0.1125180806922875
2015.0,0.21855777098387988
2020.0,0.4252131853337425
2025.0,0.5874960035505933
2030.0,0.6003975781491082
2035.0,0.5785371064472644
2040.0,0.5523925672157255
2045.0,-0.14585524033039357
2050.0,-0.5237979134530083
