generation,feasible_count,best_unit_area_power_kw_m2
1.0,32.0,0.4940714896601107
2.0,56.0,0.49616237068920604
3.0,56.0,0.49616237068920604
4.0,56.0,0.4963800344985583
5.0,56.0,0.4988771672401868
6.0,56.0,0.5018659684366796
7.0,56.0,0.5022505230240146
8.0,56.0,0.5026789936459576
9.0,56.0,0.5028218965706668
10.0,56.0,0.504182144788714
11.0,56.0,0.5043530924396319
12.0,56.0,0.5048554682064794
13.0,56.0,0.5050252757523583
14.0,56.0,0.5051965090797028
15.0,56.0,0.5051965090797028
16.0,56.0,0.5051965090797028
17.0,56.0,0.5051965090797028
18.0,56.0,0.5051965926720474
19.0,56.0,0.5052088562976496
20.0,56.0,0.5052088562976496
21.0,56.0,0.5052088562976496
22.0,56.0,0.5052169134735573
23.0,56.0,0.5052292929555121
24.0,56.0,0.5052313506721019
25.0,56.0,0.5052331364309355
26.0,56.0,0.5052335527687377
27.0,56.0,0.5052377943526118
28.0,56.0,0.5052410399843018
29.0,56.0,0.5052410399843018
30.0,56.0,0.5052438429512935
31.0,56.0,0.505244609202985
32.0,56.0,0.505244609202985
33.0,56.0,0.5052482513752563
34.0,56.0,0.5052482513752563
35.0,56.0,0.5052482513752563
36.0,56.0,0.5052485361054122
37.0,56.0,0.5052493753311881
38.0,56.0,0.5052493753311881
39.0,56.0,0.5052498322723936
40.0,56.0,0.505250555920266
