month,avg_optical_efficiency,avg_cosine_efficiency,avg_shadow_blocking_efficiency,avg_truncation_efficiency,field_power_mw,unit_area_power_kw_m2
1,0.5389932114887312,0.719935764230188,0.9137576110315188,0.9452762910524445,29.514717210879315,0.46982994605029155
2,0.5652207538960617,0.7404403532037784,0.931539666905444,0.938896479747252,33.480090784316886,0.5329527345481835
3,0.5838052063611091,0.7611400153929363,0.9348871776504298,0.9360739774923665,36.48216970289,0.5807413196894301
4,0.6005163691622603,0.7793399687370515,0.9359294412607448,0.9355776505420799,38.8261576827757,0.6180540860040703
5,0.6106720595548796,0.7893169789883201,0.9364904190544412,0.9365589077695043,40.08608842918265,0.6381102901811948
6,0.613945872586448,0.7923588160987858,0.9366815902578797,0.9370563571880928,40.471995605518615,0.6442533525233781
7,0.6105710264071289,0.7892118485227698,0.9364899713467049,0.9365546342868104,40.073487601492346,0.6379097039397064
8,0.5998494333532062,0.77863694634725,0.9359048173352436,0.9355606340630747,38.7384640919762,0.6166581358162401
9,0.5828905407932862,0.7600919805120643,0.9348056948424069,0.9361874420523323,36.3423119138644,0.5785149938533015
10,0.5626332695325444,0.7378354064925949,0.9303693588825214,0.9396296171486929,33.05174779925488,0.5261341578996321
11,0.5361109598381122,0.7181956127447962,0.911497134670487,0.9456095200931784,29.112203647633457,0.4634225349830223
12,0.523172648902845,0.7110822833457546,0.900030891833811,0.9472776005698332,27.350932919970585,0.43538575167097404
