pre_date,post_date,distance_m,pre_bed_elevation_m,post_bed_elevation_m,elevation_change_m
2019-04-13,2019-10-15,0.0,53.636,52.78,-0.8560000000000016
2019-04-13,2019-10-15,5.0,53.65446157116977,53.55924281019537,-0.0952187609743973
2019-04-13,2019-10-15,10.0,53.65394353960103,53.55039665933497,-0.10354688026605885
2019-04-13,2019-10-15,15.0,53.61344856111727,52.984370212677106,-0.6290783484401672
2019-04-13,2019-10-15,20.0,53.42981640137633,50.14965787370232,-3.2801585276740113
2019-04-13,2019-10-15,25.0,52.014950464415385,49.96011142061281,-2.0548390438025734
2019-04-13,2019-10-15,30.0,49.73088228240675,50.0,0.26911771759324665
2019-04-13,2019-10-15,35.0,47.40417220136464,46.395189550644936,-1.0089826507197017
2019-04-13,2019-10-15,40.0,45.86138056730317,45.88224421631094,0.02086364900776516
2019-04-13,2019-10-15,45.0,45.574381735477075,45.670708823907034,0.09632708842995896
2019-04-13,2019-10-15,50.0,45.457675689741066,45.48343993178148,0.02576424204041672
2019-04-13,2019-10-15,55.0,45.3493060332059,45.31886672212848,-0.03043931107741571
2019-04-13,2019-10-15,60.0,45.24899609054907,45.175418377142236,-0.07357771340683428
2019-04-13,2019-10-15,65.0,45.156469186448,45.05152407901693,-0.104945107431071
2019-04-13,2019-10-15,70.0,45.07144864558013,44.94561300994677,-0.12583563563336497
2019-04-13,2019-10-15,75.0,44.993657792622955,44.85611435212592,-0.1375434404970335
2019-04-13,2019-10-15,80.0,44.92281995225389,44.78145728774861,-0.14136266450528012
2019-04-13,2019-10-15,85.0,44.8586584491504,44.720070999009,-0.13858745014139373
2019-04-13,2019-10-15,90.0,44.80089660798995,44.67038466810131,-0.13051193988863474
2019-04-13,2019-10-15,95.0,44.74925775344997,44.63082747721972,-0.11843027623024938
2019-04-13,2019-10-15,100.0,44.703465210207916,44.59982860855841,-0.10363660164950517
2019-04-13,2019-10-15,105.0,44.66324230294124,44.575817244311594,-0.08742505862964833
2019-04-13,2019-10-15,110.0,44.62831235632741,44.55722256667346,-0.07108978965395352
2019-04-13,2019-10-15,115.0,44.598398695043876,44.542473757838195,-0.05592493720568115
2019-04-13,2019-10-15,120.0,44.57322464376807,44.53,-0.04322464376807034
2019-04-13,2019-10-15,125.0,44.55251352717746,44.51846036737547,-0.034053159801992194
2019-04-13,2019-10-15,130.0,44.5359886699495,44.50760207647,-0.028386593479496014
2019-04-13,2019-10-15,135.0,44.52337339676162,44.49748652291105,-0.02588687385056687
2019-04-13,2019-10-15,140.0,44.5143910322913,44.48817510232605,-0.026215929965246687
2019-04-13,2019-10-15,145.0,44.50876490121598,44.47972921034242,-0.02903569087356317
2019-04-13,2019-10-15,150.0,44.506218328213116,44.47221024258761,-0.0340080856255085
2019-04-13,2019-10-15,155.0,44.50669876556542,44.46567959468903,-0.041019170876388955
2019-04-13,2019-10-15,160.0,44.510805006190935,44.46019866227414,-0.050606343916797414
2019-04-13,2019-10-15,165.0,44.51825517443973,44.455828840970355,-0.062426333469375095
2019-04-13,2019-10-15,170.0,44.52866491081487,44.452631526405106,-0.0760333844097616
2019-04-13,2019-10-15,175.0,44.54164985581943,44.450668114205854,-0.0909817416135752
2019-04-13,2019-10-15,180.0,44.55682564995648,44.45,-0.10682564995647681
2019-04-13,2019-10-15,185.0,44.57380793372911,44.45117387148763,-0.12263406224147388
2019-04-13,2019-10-15,190.0,44.592212347640356,44.45452828688715,-0.13768406075320883
2019-04-13,2019-10-15,195.0,44.611654532193306,44.4598124476035,-0.1518420845898092
2019-04-13,2019-10-15,200.0,44.631750127891046,44.46677555504163,-0.16497457284941675
2019-04-13,2019-10-15,205.0,44.65211477523663,44.4751668106065,-0.17694796463013063
2019-04-13,2019-10-15,210.0,44.67236411473314,44.48473541570306,-0.1876286990300855
2019-04-13,2019-10-15,215.0,44.692113786883645,44.49523057173624,-0.1968832151474018
2019-04-13,2019-10-15,220.0,44.71097943219121,44.50640148011101,-0.20457795208020002
2019-04-13,2019-10-15,225.0,44.72857669115891,44.517997342232306,-0.21057934892660768
2019-04-13,2019-10-15,230.0,44.74452120428982,44.52976735950509,-0.21475384478473103
