method,date,elapsed_days,distance_m,bed_elevation_m
pchip,2023-02-26,0,1820.0,42.04196616541354
pchip,2023-02-26,0,1825.0,41.90878399122808
pchip,2023-02-26,0,1830.0,41.800030075187976
pchip,2023-02-26,0,1835.0,41.72498543233083
pchip,2023-02-26,0,1840.0,41.69012812011664
pchip,2023-02-26,0,1845.0,41.67297212636734
pchip,2023-02-26,0,1850.0,41.65968786428882
pchip,2023-02-26,0,1855.0,41.642288414447506
pchip,2023-02-26,0,1860.0,41.621377362641574
pchip,2023-02-26,0,1865.0,41.6
pchip,2023-02-26,0,1870.0,41.579166666666666
pchip,2023-02-26,0,1875.0,41.55833333333334
pchip,2023-02-26,0,1880.0,41.53515625
pchip,2023-02-26,0,1885.0,41.50925925925927
pchip,2023-02-26,0,1890.0,41.5
pchip,2023-02-26,0,1895.0,41.5
pchip,2023-02-26,0,1900.0,41.5
pchip,2023-02-26,0,1905.0,41.48900067552012
pchip,2023-02-26,0,1910.0,41.46018235253434
pchip,2023-02-26,0,1915.0,41.43925559359996
pchip,2023-02-26,0,1920.0,41.423032546285256
pchip,2023-02-26,0,1925.0,41.383644762335045
pchip,2023-02-26,0,1930.0,41.123250764839916
pchip,2023-02-26,0,1935.0,40.800000000000004
pchip,2023-02-26,0,1940.0,40.550389846764496
pchip,2023-02-26,0,1945.0,40.33431950215053
pchip,2023-02-26,0,1950.0,40.18783526435339
pchip,2023-02-26,0,1955.0,40.07270266460046
pchip,2023-02-26,0,1960.0,39.945397244673764
pchip,2023-02-26,0,1965.0,39.80133779511371
pchip,2023-02-26,0,1970.0,39.67837178364891
pchip,2023-02-26,0,1975.0,39.57846070072168
pchip,2023-02-26,0,1980.0,39.5
pchip,2023-02-26,0,1985.0,39.433944954128435
pchip,2023-02-26,0,1990.0,39.4
pchip,2023-02-26,0,1995.0,39.4
pchip,2023-02-26,0,2000.0,39.4
pchip,2023-02-26,0,2005.0,39.4
pchip,2023-02-26,0,2010.0,39.4
pchip,2023-02-26,0,2015.0,39.33
pchip,2023-02-26,0,2020.0,39.2
pchip,2023-02-26,0,2025.0,39.06503916449087
pchip,2023-02-26,0,2030.0,38.9
pchip,2023-02-26,0,2035.0,38.63377772443078
pchip,2023-02-26,0,2040.0,38.36192232227427
pchip,2023-02-26,0,2045.0,38.300000000000004
pchip,2023-02-26,0,2050.0,38.300000000000004
pchip,2024-02-26,365,1820.0,41.172422467289806
pchip,2024-02-26,365,1825.0,41.00858813435426
pchip,2024-02-26,365,1830.0,40.89416224032452
pchip,2024-02-26,365,1835.0,40.84872956009956
pchip,2024-02-26,365,1840.0,40.89084315395734
pchip,2024-02-26,365,1845.0,40.9380669892824
pchip,2024-02-26,365,1850.0,40.98448012823604
pchip,2024-02-26,365,1855.0,41.02289428079832
pchip,2024-02-26,365,1860.0,41.017691759863595
pchip,2024-02-26,365,1865.0,40.990372125063274
pchip,2024-02-26,365,1870.0,40.971418348173295
pchip,2024-02-26,365,1875.0,40.9663388420402
pchip,2024-02-26,365,1880.0,40.99845694900222
pchip,2024-02-26,365,1885.0,41.05465559960395
pchip,2024-02-26,365,1890.0,41.11792815119931
pchip,2024-02-26,365,1895.0,41.222101477556
pchip,2024-02-26,365,1900.0,41.31854695723983
pchip,2024-02-26,365,1905.0,41.33777657005872
pchip,2024-02-26,365,1910.0,41.33696271104727
pchip,2024-02-26,365,1915.0,41.33973175153989
pchip,2024-02-26,365,1920.0,41.33323196099868
pchip,2024-02-26,365,1925.0,41.29835324459801
pchip,2024-02-26,365,1930.0,41.03786577277971
pchip,2024-02-26,365,1935.0,40.70116789959196
pchip,2024-02-26,365,1940.0,40.443532678378396
pchip,2024-02-26,365,1945.0,40.22972318085867
pchip,2024-02-26,365,1950.0,40.09023011694395
pchip,2024-02-26,365,1955.0,40.04337576098565
pchip,2024-02-26,365,1960.0,39.99765401491231
pchip,2024-02-26,365,1965.0,39.87119055593594
pchip,2024-02-26,365,1970.0,39.74706400587633
pchip,2024-02-26,365,1975.0,39.64699600034049
pchip,2024-02-26,365,1980.0,39.56222276825984
pchip,2024-02-26,365,1985.0,39.478193393880446
pchip,2024-02-26,365,1990.0,39.4199059557918
pchip,2024-02-26,365,1995.0,39.393260948986075
pchip,2024-02-26,365,2000.0,39.35689508091222
pchip,2024-02-26,365,2005.0,39.29637803450361
