design_id,tower_y_m,width_m,height_m,center_z_m,clearance_m,rotation_deg,offset_u,offset_v,mirror_count,total_area_m2,proxy_avg_optical_efficiency,proxy_avg_cosine_efficiency,proxy_avg_shadow_blocking_efficiency,proxy_avg_truncation_efficiency,proxy_field_power_mw,proxy_unit_area_power_kw_m2,screen_avg_optical_efficiency,screen_avg_cosine_efficiency,screen_avg_shadow_blocking_efficiency,screen_avg_truncation_efficiency,screen_field_power_mw,screen_unit_area_power_kw_m2,screen_total_area_m2,estimated_full_power_mw
53,-60.0,6.3,6.080000000000002,3.1,0.05,0.0,0,0,3168,121347.07200000003,0.5694628265147526,0.7794201953251719,0.9557555346575977,0.8637816184593071,62.02627855242609,0.5111477148161109,0.49731861824502394,0.7794873289588242,0.7851924189814815,0.9453300292857979,57.88555986446483,0.47702477620939066,121347.07200000003,59.31579463323925
54,-60.0,6.3,6.080000000000002,3.1,0.05,14.999999999999998,0.25,0.5,3165,121232.16000000003,0.5694242822885083,0.7793098026613329,0.9557562069313056,0.863844000892756,61.963682154665875,0.5111158800986955,0.4957769837316523,0.7793771905077912,0.7828478804634017,0.9458864604984272,57.662271764496715,0.4756351100607025,121232.16000000003,59.08698953724007
55,-60.0,6.3,6.080000000000002,3.1,0.05,29.999999999999996,0.5,0.25,3163,121155.55200000003,0.5697755356598044,0.7797112242867952,0.9557579121306328,0.8639234752800433,61.96184288600701,0.5114238832901937,0.49480939316673406,0.7797780813909734,0.780798819685952,0.9454018537039008,57.49812721635691,0.47458103460547063,121155.55200000003,58.91878931026769
56,-60.0,6.3,6.080000000000002,3.1,0.05,45.0,0.75,0.5,3163,121155.55200000003,0.5696045129019113,0.7796557447399056,0.9557554709625526,0.863769338374465,61.94322202903508,0.5112701894918944,0.49522246175089796,0.7797225626376921,0.7829690957951311,0.9442625879246572,57.55276958645651,0.4750320446433729,121155.55200000003,58.974781782495484
75,-68.25928353120625,6.151296857577907,5.869505077876052,3.1,0.05,35.77740512062943,0.7688330254810903,0.0715040152098535,3255,117521.99679920408,0.5866202209603933,0.7833238056528518,0.9571584704220073,0.8843100645957803,61.865643999892605,0.5264175701983272,0.5039875190024808,0.7833852543239096,0.7868263568868407,0.950254434754243,56.82320345764047,0.4835112149662293,117521.99679920408,58.22718955449346
132,-64.12889422638956,6.294697245318493,6.041960965270078,3.1,0.05,1.7849024334579642,0.06820248481342028,0.40985353750429876,3167,120448.34174563829,0.5718820000607742,0.7814969904580108,0.9560224688322787,0.8650557668586183,61.82216409921651,0.5132670421463501,0.49923868628622725,0.7815613056211701,0.7859485185769919,0.945181559375789,57.685232217927286,0.4789209330896928,120448.34174563829,59.11051729690177
49,-60.0,6.3,6.050000000000002,3.1,0.05,0.0,0,0,3168,120748.32000000004,0.5702823908139839,0.7794201953251719,0.9559738461642215,0.8647921316194244,61.80838193711634,0.5118777796421211,0.4988221186941673,0.7794873289588242,0.7870337489478114,0.9457582183237171,57.77266931009235,0.47845526389180676,120748.32000000004,59.200114782256215
171,-70.05331979666867,6.168989656495434,5.881877432681359,3.1,0.05,50.19478253015383,0.3730960961081987,0.7239751417544252,3242,117636.7514613581,0.5854303792662775,0.7843229989095287,0.9570753410808199,0.881625364159165,61.79800789304217,0.5253290925271927,0.5058762175363594,0.7843829811527122,0.7885452010076085,0.9507929137816169,57.07905786453362,0.4852145027422254,117636.7514613581,58.489365604804064
50,-60.0,6.3,6.050000000000002,3.1,0.05,14.999999999999998,0.25,0.5,3165,120633.97500000003,0.5702462473414547,0.7793098026613329,0.9559745151207895,0.8648588028242815,61.746272655264825,0.5118481145569879,0.4972842593276603,0.7793771905077912,0.7847715903106899,0.9461941109472706,57.55066839455808,0.4770684908174341,120633.97500000003,58.97262867440732
51,-60.0,6.3,6.050000000000002,3.1,0.05,29.999999999999996,0.5,0.25,3163,120557.74500000002,0.5705964647186783,0.7797112242867952,0.9559762119063038,0.8649353326460457,61.74427097296512,0.5121551582850618,0.4963549287833318,0.7797780813909734,0.7827072794815049,0.9457821141122201,57.391252633711424,0.4760478278165489,120557.74500000002,58.809274073470185
167,-74.61997198343853,6.442106337760213,6.174593049180349,3.1,0.05,6.677504275044178,0.5309041463897065,0.8229380008855476,3094,123071.22923707485,0.558953498656297,0.7863975800731231,0.9551422662018118,0.8418342291781316,61.72916203619846,0.5015726455229289,0.49151328313875325,0.7864545678767257,0.7730671595561303,0.9410839714673749,58.028597765093984,0.47150416977888626,123071.22923707485,59.46236671025387
52,-60.0,6.3,6.050000000000002,3.1,0.05,45.0,0.75,0.5,3163,120557.74500000002,0.5704261793407766,0.7796557447399056,0.9559737827834609,0.8647823128085272,61.72582146840232,0.5120021236993303,0.49669907032031557,0.7797225626376921,0.7848116898514069,0.9446532054627612,57.43910367366366,0.47644474167680945,120557.74500000002,58.85830741555826
