scheme,date,change_type,edge,origin,dest,volume_before,volume_after,capacity,is_new_opened_line
flow_heuristic_balanced,2023-01-01,close_line,DC14->DC9,DC14,DC9,168355.0,0.0,439995.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC15->DC9,DC15,DC9,35501.0,0.0,80194.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC25->DC9,DC25,DC9,58430.0,0.0,126037.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC26->DC9,DC26,DC9,13019.0,0.0,27912.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC41->DC9,DC41,DC9,17817.0,0.0,29520.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC42->DC9,DC42,DC9,31.0,0.0,15464.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC43->DC9,DC43,DC9,6819.0,0.0,27588.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC44->DC9,DC44,DC9,1147.0,0.0,124459.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC45->DC9,DC45,DC9,6608.0,0.0,20473.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC46->DC9,DC46,DC9,14167.0,0.0,37361.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC47->DC9,DC47,DC9,617.0,0.0,65326.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC48->DC9,DC48,DC9,789.0,0.0,62978.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC50->DC9,DC50,DC9,87.0,0.0,21217.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC51->DC9,DC51,DC9,36925.0,0.0,261337.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC58->DC9,DC58,DC9,17227.0,0.0,37288.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC7->DC9,DC7,DC9,4648.0,0.0,7759.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC9->DC14,DC9,DC14,35348.0,0.0,30711.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC9->DC3,DC9,DC3,27706.0,0.0,31880.0,False
flow_heuristic_balanced,2023-01-01,close_line,DC9->DC5,DC9,DC5,16479.0,0.0,21997.0,False
flow_heuristic_balanced,2023-01-01,open_line,DC14->DC47,DC14,DC47,0.0,148230.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC14->DC53,DC14,DC53,0.0,20125.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC25->DC15,DC25,DC15,0.0,30096.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC25->DC16,DC25,DC16,0.0,27560.755310058594,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC26->DC23,DC26,DC23,0.0,13019.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC41->DC73,DC41,DC73,0.0,17817.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC42->DC74,DC42,DC74,0.0,31.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC43->DC60,DC43,DC60,0.0,6819.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC44->DC41,DC44,DC41,0.0,1147.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC45->DC20,DC45,DC20,0.0,6608.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC46->DC25,DC46,DC25,0.0,11154.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC46->DC55,DC46,DC55,0.0,3013.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC47->DC15,DC47,DC15,0.0,617.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC48->DC7,DC48,DC7,0.0,789.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC50->DC26,DC50,DC26,0.0,87.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC51->DC30,DC51,DC30,0.0,36925.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC58->DC25,DC58,DC25,0.0,17227.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC65->DC3,DC65,DC3,0.0,27706.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC7->DC25,DC7,DC25,0.0,4648.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC78->DC14,DC78,DC14,0.0,6.0,505833.0,True
flow_heuristic_balanced,2023-01-01,open_line,DC79->DC14,DC79,DC14,0.0,2.0,505833.0,True
flow_heuristic_balanced,2023-01-02,close_line,DC14->DC9,DC14,DC9,96619.0,0.0,439995.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC15->DC9,DC15,DC9,22903.0,0.0,80194.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC25->DC9,DC25,DC9,80683.0,0.0,126037.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC26->DC9,DC26,DC9,11378.0,0.0,27912.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC41->DC9,DC41,DC9,35553.0,0.0,29520.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC42->DC9,DC42,DC9,20.0,0.0,15464.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC43->DC9,DC43,DC9,6512.0,0.0,27588.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC44->DC9,DC44,DC9,462.0,0.0,124459.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC45->DC9,DC45,DC9,5058.0,0.0,20473.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC46->DC9,DC46,DC9,15389.0,0.0,37361.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC47->DC9,DC47,DC9,2199.0,0.0,65326.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC48->DC9,DC48,DC9,250.0,0.0,62978.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC50->DC9,DC50,DC9,248.0,0.0,21217.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC51->DC9,DC51,DC9,27863.0,0.0,261337.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC58->DC9,DC58,DC9,5968.0,0.0,37288.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC7->DC9,DC7,DC9,4499.0,0.0,7759.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC9->DC14,DC9,DC14,29141.0,0.0,30711.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC9->DC3,DC9,DC3,13775.0,0.0,31880.0,False
flow_heuristic_balanced,2023-01-02,close_line,DC9->DC5,DC9,DC5,13989.0,0.0,21997.0,False
flow_heuristic_balanced,2023-01-02,open_line,DC14->DC73,DC14,DC73,0.0,96619.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC15->DC51,DC15,DC51,0.0,22903.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC25->DC48,DC25,DC48,0.0,73614.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC25->DC66,DC25,DC66,0.0,587.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC25->DC7,DC25,DC7,0.0,6482.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC26->DC15,DC26,DC15,0.0,11378.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC41->DC43,DC41,DC43,0.0,35553.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC42->DC50,DC42,DC50,0.0,20.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC43->DC42,DC43,DC42,0.0,6512.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC45->DC58,DC45,DC58,0.0,5058.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC46->DC18,DC46,DC18,0.0,15389.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC47->DC58,DC47,DC58,0.0,2199.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC48->DC42,DC48,DC42,0.0,250.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC50->DC58,DC50,DC58,0.0,248.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC51->DC58,DC51,DC58,0.0,27863.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC58->DC42,DC58,DC42,0.0,5968.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC7->DC11,DC7,DC11,0.0,2727.779776573181,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC7->DC6,DC7,DC6,0.0,1771.2202234268188,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC75->DC14,DC75,DC14,0.0,2.0,505833.0,True
flow_heuristic_balanced,2023-01-02,open_line,DC77->DC14,DC77,DC14,0.0,2.0,505833.0,True
flow_heuristic_balanced,2023-01-03,close_line,DC14->DC9,DC14,DC9,212788.0,0.0,439995.0,False
flow_heuristic_balanced,2023-01-03,close_line,DC15->DC9,DC15,DC9,21802.0,0.0,80194.0,False
flow_heuristic_balanced,2023-01-03,close_line,DC25->DC9,DC25,DC9,46513.0,0.0,126037.0,False
flow_heuristic_balanced,2023-01-03,close_line,DC26->DC9,DC26,DC9,14084.0,0.0,27912.0,False
flow_heuristic_balanced,2023-01-03,close_line,DC41->DC9,DC41,DC9,24173.0,0.0,29520.0,False
flow_heuristic_balanced,2023-01-03,close_line,DC42->DC9,DC42,DC9,16.0,0.0,15464.0,False
flow_heuristic_balanced,2023-01-03,close_line,DC43->DC9,DC43,DC9,7014.0,0.0,27588.0,False
flow_heuristic_balanced,2023-01-03,close_line,DC44->DC9,DC44,DC9,2654.0,0.0,124459.0,False
