scheme,origin,dest,edge,date,base_forecast_volume,added_volume,adjusted_volume,edge_capacity,is_new_opened_line,line_load_rate
flow_heuristic_balanced,DC1,DC8,DC1->DC8,2023-01-01,0.0,0.0,0.0,3.0,False,0.0
flow_heuristic_balanced,DC10,DC12,DC10->DC12,2023-01-01,0.0,0.0,0.0,993.0,False,0.0
flow_heuristic_balanced,DC10,DC13,DC10->DC13,2023-01-01,0.0,0.0,0.0,6.0,False,0.0
flow_heuristic_balanced,DC10,DC14,DC10->DC14,2023-01-01,9903.0,0.0,9903.0,31846.0,False,0.3109652703636249
flow_heuristic_balanced,DC10,DC17,DC10->DC17,2023-01-01,0.0,0.0,0.0,5.0,False,0.0
flow_heuristic_balanced,DC10,DC19,DC10->DC19,2023-01-01,0.0,0.0,0.0,14.0,False,0.0
flow_heuristic_balanced,DC10,DC20,DC10->DC20,2023-01-01,0.0,0.0,0.0,11.0,False,0.0
flow_heuristic_balanced,DC10,DC21,DC10->DC21,2023-01-01,0.0,0.0,0.0,29.0,False,0.0
flow_heuristic_balanced,DC10,DC22,DC10->DC22,2023-01-01,0.0,0.0,0.0,27.0,False,0.0
flow_heuristic_balanced,DC10,DC23,DC10->DC23,2023-01-01,0.0,0.0,0.0,991.0,False,0.0
flow_heuristic_balanced,DC10,DC25,DC10->DC25,2023-01-01,0.0,0.0,0.0,4.0,False,0.0
flow_heuristic_balanced,DC10,DC27,DC10->DC27,2023-01-01,0.0,0.0,0.0,6.0,False,0.0
flow_heuristic_balanced,DC10,DC28,DC10->DC28,2023-01-01,0.0,0.0,0.0,8.0,False,0.0
flow_heuristic_balanced,DC10,DC3,DC10->DC3,2023-01-01,7689.0,0.0,7689.0,27671.0,False,0.2778721405081132
flow_heuristic_balanced,DC10,DC30,DC10->DC30,2023-01-01,0.0,0.0,0.0,50.0,False,0.0
flow_heuristic_balanced,DC10,DC32,DC10->DC32,2023-01-01,0.0,0.0,0.0,206.0,False,0.0
flow_heuristic_balanced,DC10,DC33,DC10->DC33,2023-01-01,0.0,0.0,0.0,118.0,False,0.0
flow_heuristic_balanced,DC10,DC34,DC10->DC34,2023-01-01,0.0,0.0,0.0,200.0,False,0.0
flow_heuristic_balanced,DC10,DC35,DC10->DC35,2023-01-01,294.0,0.0,294.0,1914.0,False,0.1536050156739812
flow_heuristic_balanced,DC10,DC36,DC10->DC36,2023-01-01,0.0,0.0,0.0,55.0,False,0.0
flow_heuristic_balanced,DC10,DC38,DC10->DC38,2023-01-01,0.0,0.0,0.0,15.0,False,0.0
flow_heuristic_balanced,DC10,DC4,DC10->DC4,2023-01-01,43202.0,0.0,43202.0,129442.0,False,0.3337556589051467
flow_heuristic_balanced,DC10,DC40,DC10->DC40,2023-01-01,0.0,0.0,0.0,969.0,False,0.0
flow_heuristic_balanced,DC10,DC47,DC10->DC47,2023-01-01,0.0,0.0,0.0,2.0,False,0.0
flow_heuristic_balanced,DC10,DC5,DC10->DC5,2023-01-01,6668.0,0.0,6668.0,32524.0,False,0.20501783298487272
flow_heuristic_balanced,DC10,DC51,DC10->DC51,2023-01-01,0.0,0.0,0.0,1.0,False,0.0
flow_heuristic_balanced,DC10,DC59,DC10->DC59,2023-01-01,0.0,0.0,0.0,32.0,False,0.0
flow_heuristic_balanced,DC10,DC60,DC10->DC60,2023-01-01,0.0,0.0,0.0,59.0,False,0.0
flow_heuristic_balanced,DC10,DC61,DC10->DC61,2023-01-01,0.0,0.0,0.0,3.0,False,0.0
flow_heuristic_balanced,DC10,DC62,DC10->DC62,2023-01-01,11656.0,0.0,11656.0,32318.0,False,0.36066588278977657
flow_heuristic_balanced,DC10,DC64,DC10->DC64,2023-01-01,0.0,0.0,0.0,12.0,False,0.0
flow_heuristic_balanced,DC10,DC65,DC10->DC65,2023-01-01,0.0,0.0,0.0,19.0,False,0.0
flow_heuristic_balanced,DC10,DC67,DC10->DC67,2023-01-01,0.0,0.0,0.0,20.0,False,0.0
flow_heuristic_balanced,DC10,DC70,DC10->DC70,2023-01-01,429.0,0.0,429.0,3842.0,False,0.1116605934409162
flow_heuristic_balanced,DC10,DC73,DC10->DC73,2023-01-01,0.0,0.0,0.0,4.0,False,0.0
flow_heuristic_balanced,DC10,DC76,DC10->DC76,2023-01-01,0.0,0.0,0.0,8.0,False,0.0
flow_heuristic_balanced,DC10,DC78,DC10->DC78,2023-01-01,0.0,0.0,0.0,5.0,False,0.0
flow_heuristic_balanced,DC10,DC8,DC10->DC8,2023-01-01,1048.0,0.0,1048.0,57645.0,False,0.018180241131060804
flow_heuristic_balanced,DC10,DC80,DC10->DC80,2023-01-01,0.0,0.0,0.0,1.0,False,0.0
flow_heuristic_balanced,DC11,DC10,DC11->DC10,2023-01-01,0.0,0.0,0.0,9190.0,False,0.0
flow_heuristic_balanced,DC11,DC14,DC11->DC14,2023-01-01,0.0,1491.155424118042,1491.155424118042,2947.0,False,0.5059909820556641
flow_heuristic_balanced,DC11,DC22,DC11->DC22,2023-01-01,0.0,0.0,0.0,2.0,False,0.0
flow_heuristic_balanced,DC11,DC3,DC11->DC3,2023-01-01,0.0,0.0,0.0,1920.0,False,0.0
flow_heuristic_balanced,DC11,DC5,DC11->DC5,2023-01-01,0.0,0.0,0.0,1630.0,False,0.0
flow_heuristic_balanced,DC12,DC10,DC12->DC10,2023-01-01,0.0,0.0,0.0,32.0,False,0.0
flow_heuristic_balanced,DC12,DC14,DC12->DC14,2023-01-01,0.0,0.0,0.0,48.0,False,0.0
flow_heuristic_balanced,DC12,DC23,DC12->DC23,2023-01-01,0.0,0.0,0.0,11.0,False,0.0
flow_heuristic_balanced,DC12,DC3,DC12->DC3,2023-01-01,0.0,0.0,0.0,21.0,False,0.0
flow_heuristic_balanced,DC12,DC32,DC12->DC32,2023-01-01,0.0,0.0,0.0,58.0,False,0.0
flow_heuristic_balanced,DC12,DC35,DC12->DC35,2023-01-01,0.0,0.0,0.0,548.0,False,0.0
flow_heuristic_balanced,DC12,DC36,DC12->DC36,2023-01-01,0.0,0.0,0.0,35.0,False,0.0
flow_heuristic_balanced,DC12,DC38,DC12->DC38,2023-01-01,0.0,0.0,0.0,9.0,False,0.0
flow_heuristic_balanced,DC12,DC40,DC12->DC40,2023-01-01,0.0,0.0,0.0,66.0,False,0.0
flow_heuristic_balanced,DC12,DC5,DC12->DC5,2023-01-01,0.0,0.0,0.0,8.0,False,0.0
flow_heuristic_balanced,DC12,DC67,DC12->DC67,2023-01-01,0.0,0.0,0.0,9.0,False,0.0
flow_heuristic_balanced,DC13,DC10,DC13->DC10,2023-01-01,0.0,0.0,0.0,400.0,False,0.0
flow_heuristic_balanced,DC13,DC14,DC13->DC14,2023-01-01,0.0,0.0,0.0,73.0,False,0.0
flow_heuristic_balanced,DC13,DC15,DC13->DC15,2023-01-01,0.0,0.0,0.0,2.0,False,0.0
flow_heuristic_balanced,DC13,DC3,DC13->DC3,2023-01-01,0.0,0.0,0.0,106.0,False,0.0
flow_heuristic_balanced,DC13,DC4,DC13->DC4,2023-01-01,0.0,0.0,0.0,437.0,False,0.0
flow_heuristic_balanced,DC13,DC5,DC13->DC5,2023-01-01,0.0,0.0,0.0,77.0,False,0.0
