month,avg_optical_efficiency,avg_cosine_efficiency,avg_shadow_blocking_efficiency,avg_truncation_efficiency,field_power_mw,unit_area_power_kw_m2
1,0.53893226648855,0.719935764230188,0.9137479853151863,0.9449522555693758,29.51102144626742,0.4697711150313184
2,0.5651883624446519,0.7404403532037784,0.9315436962750716,0.9386748863478832,33.47790908048462,0.5329180051016336
3,0.5838041121770365,0.7611400153929363,0.9348938932664757,0.9360083855773269,36.48226018413341,0.5807427600148585
4,0.6006237101343305,0.7793399687370515,0.9359383954154727,0.9356740326230352,38.833205054464436,0.6181662695712263
5,0.6107951038195466,0.7893169789883201,0.9364711676217764,0.9367078375401199,40.09410829739282,0.6382379544315955
6,0.6140576366830827,0.7923588160987858,0.9366641296561605,0.9371872266040828,40.47929837115367,0.6443696015783773
7,0.6106871079332243,0.7892118485227698,0.9364664666905445,0.93669601376031,40.08103583273306,0.6380298604382848
8,0.5999412335726657,0.77863694634725,0.9358992209885388,0.93564572701823,38.74449413181895,0.6167541249891587
9,0.5828827092540992,0.7600919805120643,0.934804575573066,0.9361164150250539,36.34196932732141,0.5785095403903437
10,0.5626211742525956,0.7378354064925949,0.9303774176217765,0.9394349708047496,33.05064497575807,0.5261166026067824
11,0.5360546108862614,0.7181956127447962,0.9114772116762178,0.9452953594840846,29.108760667874197,0.4633677279190417
12,0.523195731796279,0.7110822833457546,0.900023056948424,0.9470836714256612,27.351914867563586,0.43540138280107576
