month,day_offset_from_march_21,solar_time,solar_altitude_deg,dni_kw_m2,avg_optical_efficiency,avg_cosine_efficiency,avg_shadow_blocking_efficiency,avg_truncation_efficiency,field_power_mw,unit_area_power_kw_m2,required_neighbor_radius_m
1,306,9.0,17.430915460183293,0.7925396841601171,0.5088811329289965,0.7024362414633658,0.885112598495702,0.9531413741476031,25.335839490469148,0.40330849236658944,35.68912057918847
1,306,10.5,27.206169753432686,0.9100911454852127,0.5547796769207095,0.7285806317918256,0.9306948424068768,0.9403846977767091,31.717822501724214,0.5049000716606847,35.68912057918847
1,306,12.0,30.83375539142462,0.9391840362887128,0.5636558681513866,0.7376450687803956,0.9341724122492837,0.9382960087364555,33.2554375928799,0.5293765933282378,35.68912057918847
1,306,13.5,27.206169753432686,0.9100911454852127,0.5559898766307161,0.7285806332659797,0.9318275429799427,0.940005102625309,31.787011949698737,0.5060014637010305,35.68912057918847
1,306,15.0,17.430915460183293,0.7925396841601171,0.5113547778109406,0.7024362458493735,0.8869325304441261,0.9529340945608027,25.458995696565122,0.4052689541000497,35.68912057918847
2,337,9.0,24.830779231476313,0.8875714408097994,0.5473011375531995,0.7224441368523334,0.9244717048710601,0.942424026048604,30.51599973588225,0.48576885921493557,35.68912057918847
2,337,10.5,35.77279809753639,0.9708000370097123,0.5731678567875763,0.7493379441013761,0.9346301934097421,0.9368936641107023,34.95501907689108,0.5564313765821566,35.68912057918847
2,337,12.0,39.96981305979434,0.9921771917861092,0.5816838848050219,0.7586375961506564,0.9367903832378224,0.9352315532569421,36.25552542298416,0.5771334833330811,35.68912057918847
2,337,13.5,35.77279809753639,0.9708000370097123,0.574482161942016,0.7493379462981539,0.935850196991404,0.9366844436146162,35.03517284197446,0.5577073040747287,35.68912057918847
2,337,15.0,24.830779231476313,0.8875714408097994,0.5493067711354456,0.7224441426163722,0.9259760028653296,0.9421407447085515,30.62782832469118,0.4875490023032662,35.68912057918847
3,0,9.0,33.12073905193114,0.9548220128815967,0.5666652408147983,0.7431561030139224,0.9304541994985673,0.9383315024053913,33.989668489228016,0.5410644458648204,35.68912057918847
3,0,10.5,45.55416437870154,1.0147803402321798,0.5909084599380152,0.770035352807739,0.9360997940544412,0.9345981569217229,37.669528533540316,0.5996422880219726,35.68912057918847
