design_id,tower_x_m,tower_y_m,width_m,height_m,center_z_m,ground_clearance_m,spacing_clearance_m,rotation_deg,offset_u,offset_v,mirror_count,minimum_center_distance_m,required_problem_distance_m,configured_safe_distance_m,spacing_constraint_satisfied,maximum_site_radius_m,site_constraint_satisfied,minimum_tower_distance_m,tower_exclusion_satisfied,proxy_avg_optical_efficiency,proxy_avg_cosine_efficiency,proxy_avg_shadow_blocking_efficiency,proxy_avg_truncation_efficiency,proxy_field_power_mw,proxy_unit_area_power_kw_m2,proxy_total_area_m2,proxy_mirror_count,screen16_avg_optical_efficiency,screen16_avg_cosine_efficiency,screen16_avg_shadow_blocking_efficiency,screen16_avg_truncation_efficiency,screen16_field_power_mw,screen16_unit_area_power_kw_m2,screen16_total_area_m2,estimated_full_power_mw,estimated_full_unit_area_power_kw_m2,full32_avg_optical_efficiency,full32_avg_cosine_efficiency,full32_avg_shadow_blocking_efficiency,full32_avg_truncation_efficiency,full32_field_power_mw,full32_unit_area_power_kw_m2,full32_total_area_m2
d056,-39.66843626461923,-75.28616721741855,6.152397492248564,6.137836449639871,4.175957275117451,1.1070390502975154,0.05,3.0894123762845993,0.7613698691129684,0.679380158893764,3254,11.20239749224847,11.152397492248564,11.202397492248565,True,349.96231464023947,True,100.16892287671216,True,0.5781781657310765,0.7854535662803819,0.9551471016532425,0.8717811298583977,60.691094950088164,0.49390989376839695,122878.88077525997,3254.0,0.4907111870153495,0.7855087386140333,0.7652968782011883,0.9510632797865818,57.8532599291901,0.47081532289508027,122878.88077525997,59.58208472212576,0.4848846632245842,0.5018565376989851,0.7928615239479054,0.7670740178754353,0.9580049249752011,60.08199091463094,0.4889529472889508,122878.88077525997
d004,-20.0,-60.0,6.2,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3217,11.249999999999988,11.2,11.25,True,349.91396149780866,True,101.24999999999999,True,0.5719893819207168,0.7789922409513474,0.9547925438773108,0.8691015380998914,60.445703861008774,0.4887997771093211,123661.48000000001,3217.0,0.49067167684975915,0.7790588521167473,0.7741539089213553,0.947781393116721,58.215884027507315,0.47076813270799706,123661.48000000001,59.95554509021332,0.48483606285654446,0.502152503904028,0.78608375120876,0.7761579110972956,0.9550181432979864,60.50589061507832,0.48928648286498205,123661.48000000001
d001,0.0,-60.0,6.2,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3209,11.249999999999988,11.2,11.25,True,349.9711979826114,True,101.24999999999999,True,0.5728872395837853,0.779534609187345,0.9548028070198643,0.8699074584973563,60.38918007632565,0.4895601249957897,123353.96000000002,3209.0,0.4906517599726338,0.7796009129922187,0.774496533187909,0.946398582582947,58.06621536625719,0.4707284254697392,123353.96000000002,59.801403891156134,0.48479516904975023,0.5026140986751606,0.7866366490731779,0.7766264477511167,0.9545691657411624,60.41037218561967,0.4897319241767323,123353.96000000002
d013,0.0,-80.0,6.2,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3213,11.249999999999988,11.2,11.25,True,349.95416747011353,True,101.24999999999999,True,0.5757791922690008,0.789382954958687,0.9547392657009893,0.8647674719620246,60.74265587610302,0.4918126241509682,123507.72000000002,3213.0,0.4901941108148407,0.7894347331288252,0.764230923851022,0.9466251227533519,58.06719748636136,0.4701503475763406,123507.72000000002,59.80241535988453,0.48419981649636573,0.5021971335717647,0.7969201550071449,0.765951797385621,0.9552650528561064,60.41845605910323,0.48918768850322236,123507.72000000002
d007,20.0,-60.0,6.2,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3217,11.249999999999988,11.2,11.25,True,349.91396149780866,True,101.24999999999999,True,0.5719893819207167,0.7789922409513474,0.9547925438773108,0.8691015380998914,60.445703861008774,0.4887997771093211,123661.48000000001,3217.0,0.4891480524811726,0.7790588521167473,0.7737394440990571,0.94479211957064,58.028881320842,0.4692559180178177,123661.48000000001,59.762954195155075,0.4832786587638695,0.5016191610746984,0.78608375120876,0.7760151150139881,0.9540000399856885,60.439641652179766,0.4887507544967097,123661.48000000001
d116,-1.6050311923027039,-94.7128260973841,6.373131718579679,6.233793506678193,3.6636829169717906,0.5467861636326941,0.05,3.387253861874342,0.2444074647501111,0.5110121509060264,3139,11.423131718579594,11.373131718579678,11.423131718579679,True,349.90048955096324,True,100.00558346442365,True,0.563623902812956,0.7958459615366892,0.9545758831230038,0.8405570010484322,60.020691521817426,0.4812872673158959,124708.66278376417,3139.0,0.4867462402580756,0.7958877311748825,0.75619391791441,0.9423194768607318,58.21039401417474,0.4667710543501486,124708.66278376417,59.94989101920837,0.4807195400944773,0.4981409027636877,0.8036663857118025,0.7579231708612084,0.9498147225939245,60.492560788870605,0.485071040283387,124708.66278376417
d005,-20.0,-60.0,6.3,6.3,3.4,0.25,0.05,0.0,0.0,0.0,3167,11.349999999999934,11.3,11.350000000000001,True,349.9397335268837,True,100.88100663653194,True,0.5614823985611913,0.7788873654208421,0.9541466144378562,0.8537802763794496,60.315289919001394,0.47984199872187056,125698.23,3167.0,0.48610532522424993,0.7789544789109096,0.770349831596674,0.9443332436415401,58.62364210251693,0.4663839904708041,125698.23,60.37548817036282,0.48032090961314905,0.4973081914269,0.7859695514637168,0.7723558704346911,0.951166023538781,60.904541945989514,0.48452982946529577,125698.23
d002,0.0,-60.0,6.3,6.3,3.4,0.25,0.05,0.0,0.0,0.0,3168,11.349999999999934,11.3,11.350000000000001,True,349.99298507216747,True,100.88100663653194,True,0.5620846038585081,0.7791930476682336,0.9541545836090238,0.8543935885241076,60.398518170579564,0.48035245191410486,125737.92,3168.0,0.48573944901290367,0.7792599581398995,0.7704321864478114,0.9428128021582093,58.59520520051885,0.4660106131906656,125737.92,60.34620149047377,0.4799363747266836,0.49740467851019765,0.7862852789978769,0.7725650055239899,0.9505656206345943,60.93433921895982,0.48461386365354076,125737.92
d014,0.0,-80.0,6.3,6.3,3.4,0.25,0.05,0.0,0.0,0.0,3166,11.349999999999934,11.3,11.350000000000001,True,349.84078678762205,True,100.88100663653194,True,0.5651196488684684,0.788976524937742,0.9540943284387229,0.8497370623280316,60.65986047607877,0.4827356777826543,125658.54,3166.0,0.485497347166813,0.7890291184685972,0.7606074963150137,0.9430606522273849,58.51208868725171,0.465643550269259,125658.54,60.26060121243668,0.4795583428904767,0.4971180141779848,0.7964997565315223,0.7623132830595915,0.9510780671783042,60.84362374920123,0.48419807956706507,125658.54
d011,0.0,-40.0,6.3,6.3,3.4,0.25,0.05,0.0,0.0,0.0,3170,11.349999999999934,11.3,11.350000000000001,True,349.96144568508964,True,100.88100663653194,True,0.5579788440967243,0.7691056930970405,0.954197816900773,0.8577373961121101,60.021885768577704,0.47705590382703894,125817.29999999999,3170.0,0.4851511698700847,0.7691871182439632,0.7794558359621452,0.9423876711485151,58.57664730059968,0.4655691013922543,125817.29999999999,60.32708902617008,0.47948166926305114,0.4968307209651409,0.7757366112300155,0.7820637815457413,0.9498571032373248,60.918243076909796,0.48418018092034887,125817.29999999999
