heliostat_id,x_m,y_m
1,-188.75,232.28357377724808
2,-239.375,242.026359569823
3,221.875,261.51193115497284
4,-340.625,-69.74278579257494
5,205.0,251.76914536239792
6,323.125,-108.71392896287468
7,306.25,-98.97114317029974
8,-188.75,290.74028853269766
9,165.625,222.5407879846731
10,-335.0,-79.48557158514987
11,-222.5,232.28357377724808
12,323.125,-50.257214207425065
13,-194.375,222.5407879846731
14,143.125,261.51193115497284
15,306.25,-60.0
16,154.375,222.5407879846731
17,-205.625,222.5407879846731
18,182.5,232.28357377724808
19,289.375,-69.74278579257494
20,340.0,-40.51442841485013
21,-183.125,242.026359569823
22,328.75,-118.45671475544961
23,143.125,242.026359569823
24,216.25,251.76914536239792
25,143.125,280.99750274012274
26,143.125,300.4830743252726
27,-329.375,-69.74278579257494
28,103.75,-332.7980021920982
29,199.375,242.026359569823
30,289.375,-89.2283573777248
31,-183.125,261.51193115497284
32,311.875,-108.71392896287468
33,-329.375,-89.2283573777248
34,283.75,-79.48557158514987
35,-233.75,232.28357377724808
36,-323.75,-79.48557158514987
37,-183.125,280.99750274012274
38,143.125,222.5407879846731
39,-216.875,222.5407879846731
40,295.0,-98.97114317029974
41,311.875,-50.257214207425065
42,-183.125,222.5407879846731
43,109.375,-323.05521639952326
44,328.75,-40.51442841485013
45,-335.0,-98.97114317029974
46,-335.0,-60.0
47,160.0,212.79800219209818
48,176.875,222.5407879846731
49,148.75,212.79800219209818
50,120.625,-323.05521639952326
51,295.0,-60.0
52,-188.75,212.79800219209818
53,131.875,-323.05521639952326
54,-200.0,212.79800219209818
55,-177.5,232.28357377724808
56,317.5,-118.45671475544961
57,193.75,232.28357377724808
58,-250.625,242.026359569823
59,227.5,251.76914536239792
60,137.5,251.76914536239792
61,98.125,-323.05521639952326
62,210.625,242.026359569823
63,137.5,271.25471694754776
64,345.625,-30.771642622275195
65,-318.125,-69.74278579257494
66,92.5,-332.7980021920982
67,278.125,-69.74278579257494
68,137.5,290.74028853269766
69,278.125,-89.2283573777248
70,137.5,232.28357377724808
71,300.625,-108.71392896287468
72,-318.125,-89.2283573777248
73,300.625,-50.257214207425065
74,-177.5,251.76914536239792
75,-177.5,271.25471694754776
76,137.5,212.79800219209818
77,272.5,-79.48557158514987
78,137.5,310.22586011784756
79,-312.5,-79.48557158514987
80,-228.125,222.5407879846731
81,317.5,-40.51442841485013
82,171.25,212.79800219209818
83,115.0,-313.3124306069483
84,283.75,-98.97114317029974
85,-177.5,290.74028853269766
86,-155.0,-313.3124306069483
87,-211.25,212.79800219209818
88,334.375,-30.771642622275195
89,126.25,-313.3124306069483
90,-177.5,212.79800219209818
91,188.125,222.5407879846731
92,-143.75,-313.3124306069483
93,283.75,-60.0
94,103.75,-313.3124306069483
95,-323.75,-60.0
96,-323.75,-98.97114317029974
97,-340.625,-50.257214207425065
98,-245.0,232.28357377724808
99,137.5,-313.3124306069483
100,154.375,203.05521639952326
101,-194.375,203.05521639952326
102,221.875,242.026359569823
103,238.75,251.76914536239792
104,205.0,232.28357377724808
105,306.25,-118.45671475544961
106,143.125,203.05521639952326
107,-132.5,-313.3124306069483
108,323.125,-128.19950054802456
109,131.875,280.99750274012274
110,-183.125,203.05521639952326
111,-171.875,222.5407879846731
112,92.5,-313.3124306069483
113,-126.875,-323.05521639952326
114,86.875,-323.05521639952326
115,131.875,222.5407879846731
116,131.875,242.026359569823
117,-171.875,242.026359569823
118,289.375,-108.71392896287468
119,-306.875,-69.74278579257494
120,131.875,261.51193115497284
121,289.375,-50.257214207425065
122,-306.875,-89.2283573777248
123,266.875,-89.2283573777248
124,-171.875,261.51193115497284
125,-149.375,-303.56964481437336
126,306.25,-40.51442841485013
127,-160.625,-303.56964481437336
128,109.375,-303.56964481437336
129,272.5,-98.97114317029974
130,-171.875,280.99750274012274
131,-329.375,-50.257214207425065
132,266.875,-69.74278579257494
133,-329.375,-108.71392896287468
134,131.875,300.4830743252726
135,148.75,-313.3124306069483
136,81.25,-332.7980021920982
137,120.625,-303.56964481437336
138,-138.125,-303.56964481437336
139,-222.5,212.79800219209818
140,131.875,-303.56964481437336
141,-301.25,-79.48557158514987
142,-171.875,300.4830743252726
143,182.5,212.79800219209818
144,131.875,319.9686459104225
145,131.875,203.05521639952326
146,323.125,-30.771642622275195
147,261.25,-79.48557158514987
148,165.625,203.05521639952326
149,-346.25,-40.51442841485013
