month,avg_optical_efficiency,avg_cosine_efficiency,avg_shadow_blocking_efficiency,avg_truncation_efficiency,field_power_mw,unit_area_power_kw_m2
1.0,0.45945046258531896,0.7656388157592244,0.7419773071405802,0.9532119798812537,48.39113596299433,0.4012988539242966
2.0,0.49835057937039495,0.7784532436553819,0.7925336707044947,0.9419120497953518,56.67822444540025,0.47002216541882075
3.0,0.514957667394293,0.7897273911831217,0.8065807299968123,0.9355352688989254,61.76644940875501,0.5122178858884692
4.0,0.5257460659011202,0.7971969750052208,0.8102018249920306,0.9344934846399491,65.24600955929986,0.5410732428208239
5.0,0.5319412033281672,0.7992242117945361,0.8127012272872172,0.9353768652985746,67.02498026871851,0.5558259220594456
6.0,0.5337543238816786,0.7992192986061017,0.8137631495058975,0.9356668061219373,67.53951561864783,0.5600928697580505
7.0,0.5318914321191416,0.7992171674694842,0.8126922617150143,0.9353646513940553,67.00864930501942,0.5556904923596565
8.0,0.525308518524158,0.796978042732427,0.8100409427797258,0.9344700363905553,65.11671170806595,0.5400009993513851
9.0,0.514322172964372,0.7892116144960175,0.8062754024545743,0.9357301189408613,61.55015676053256,0.5104242104535653
10.0,0.4950545259476694,0.7769011916267915,0.7885126115715652,0.9432506911992897,55.846294934671945,0.4631231259034771
11.0,0.45476767082460173,0.7644948489847074,0.7361128267452981,0.9536850630364867,47.5113845941254,0.39400323647205465
12.0,0.4342245820286454,0.7597392178928777,0.7101505219955372,0.955281282645459,43.74124711989972,0.36273817485620846
