survey_date,distance_m,bed_elevation_m
2016-06-08,0.0,47.754999999999995
2016-06-08,14.0,50.905
2016-06-08,22.0,50.925
2016-06-08,42.0,45.315
2016-06-08,84.0,45.345
2016-06-08,107.0,47.205
2016-06-08,140.0,46.364999999999995
2016-06-08,150.0,44.265
2016-06-08,200.0,44.184999999999995
2016-06-08,250.0,44.135
2016-06-08,253.0,44.845
2016-06-08,300.0,45.055
2016-06-08,400.0,45.205
2016-06-08,500.0,45.205
2016-06-08,600.0,45.275
2016-06-08,700.0,45.205
2016-06-08,732.0,45.464999999999996
2016-06-08,900.0,45.485
2016-06-08,1000.0,45.605
2016-06-08,1100.0,44.925
2016-06-08,1200.0,45.335
2016-06-08,1300.0,45.335
2016-06-08,1357.0,45.495
2016-06-08,1440.0,45.445
2016-06-08,1443.0,44.355
2016-06-08,1462.0,44.114999999999995
2016-06-08,1661.0,46.071
2016-06-08,1681.0,45.561
2016-06-08,1692.0,46.111000000000004
2016-06-08,1695.0,46.701
2016-06-08,1712.0,46.581
2016-06-08,1718.0,46.081
2016-06-08,1724.0,44.281
2016-06-08,1730.0,43.681
2016-06-08,1739.0,43.401
2016-06-08,1746.0,43.271
2016-06-08,1754.0,42.471
2016-06-08,1769.0,41.971
2016-06-08,1780.0,41.672
2016-06-08,1809.0,41.571
2016-06-08,1828.0,41.571
2016-06-08,1841.0,41.571
2016-06-08,1852.0,41.671
2016-06-08,1869.0,41.483
2016-06-08,1873.0,41.471
2016-06-08,1875.0,41.464
2016-06-08,1883.0,41.471
2016-06-08,1896.0,41.371
2016-06-08,1909.0,41.371
2016-06-08,1923.0,41.571
2016-06-08,1939.0,41.671
2016-06-08,1949.0,41.662
2016-06-08,1955.0,41.571
2016-06-08,1968.0,41.371
2016-06-08,1977.0,41.471
2016-06-08,1996.0,41.271
2016-06-08,2014.0,41.181
2016-06-08,2029.0,40.771
2016-06-08,2061.0,41.271
2016-06-08,2080.0,43.271
2016-06-08,2091.0,44.282
2016-06-08,2099.0,44.711
2016-06-08,2102.0,44.761
2016-06-08,2139.0,45.101
2016-06-08,2156.0,45.321
2016-06-08,2184.0,46.581
2016-06-08,2190.0,47.561
2016-06-08,2191.0,47.351
2016-06-08,2200.0,46.285
2016-06-08,2300.0,46.184999999999995
2016-06-08,2400.0,45.875
2016-06-08,2438.0,45.635
2016-06-08,2442.0,47.425
2016-06-08,2445.0,47.464999999999996
2016-06-08,2453.0,45.745
2016-06-08,2500.0,45.695
2016-06-08,2600.0,45.635
2016-06-08,2700.0,45.434999999999995
2016-06-08,2800.0,45.455
