glass_type,component,mean,median,zero_rate,mean_abs_correlation_to_others,clr_variance
铅钡,SiO2,58.18765333553919,60.76804541490915,0.0,0.19065841988310014,0.18489769620906707
铅钡,Na2O,1.1363705982674936,0.1849050831402084,0.25,0.16833272871316465,2.003099959087052
铅钡,K2O,0.31818906325283247,0.2196737804187749,0.15,0.19833382090979287,0.398810976325862
铅钡,CaO,1.0892680121958815,0.8721787066382161,0.05,0.15050777844066526,0.4818446204920067
铅钡,MgO,0.7262018498388075,0.7441213259274948,0.2,0.2042567471656607,1.0040500811631092
铅钡,Al2O3,4.615970418321784,3.9190034896729316,0.0,0.2615283685816322,0.3305898225852026
铅钡,Fe2O3,0.4667935835188105,0.11134836080109065,0.25,0.22709676456073946,1.0810502949051066
铅钡,CuO,1.3982702056543075,0.7046004043017362,0.025,0.2665816635233376,0.9967093918180621
铅钡,PbO,21.15119388059583,19.063502752664363,0.0,0.15575624036952493,0.24903204092768513
铅钡,BaO,8.973724186187557,6.597418424537358,0.0,0.2634185241680597,0.7834097500970432
铅钡,P2O5,0.6904124427516749,0.308645234172335,0.1,0.16015516806511473,0.9186604246223359
铅钡,SrO,0.34403577992526546,0.2685587367305572,0.125,0.1492410639100402,0.30708611435047617
铅钡,SnO2,0.10186078817828874,0.08976722982991919,0.425,0.14547422079399816,0.2655843942631907
铅钡,SO2,0.800055855772279,0.0687310495540378,0.45,0.22661261920589043,1.1442792249755573
高钾,SiO2,68.3454018368702,68.09102728979394,0.0,0.26992719601584597,0.08572797977051397
高钾,Na2O,0.5679517022272332,0.09520922504111909,0.4375,0.29926713955635065,1.693965099038
高钾,K2O,9.60348382771469,10.393504202300711,0.0625,0.2735296346805348,1.8127906272524323
高钾,CaO,6.271482522604155,6.94339029261989,0.0625,0.39397861549304647,0.9351115744486617
高钾,MgO,1.7767485200024713,1.0956397742122284,0.0625,0.25370484095921264,0.8680225126397858
高钾,Al2O3,6.781386305169031,6.2814189172602815,0.0,0.19892990488640522,0.08110366437470094
高钾,Fe2O3,1.8739087591226316,2.0466045170344236,0.0625,0.38054181282773086,0.5434538824141077
高钾,CuO,2.535908594390346,2.6455491838371357,0.0625,0.3829960908183717,0.7386970802224034
高钾,PbO,0.32275522041048094,0.21440279569622006,0.3125,0.2273622508687811,0.7493925294386102
高钾,BaO,0.33069062303479224,0.1013246655619424,0.4375,0.2536742325976619,1.0009525299153175
高钾,P2O5,1.2148457022556363,1.0452584479705929,0.0625,0.23882533578438275,0.7100835049503417
高钾,SrO,0.0661126721552526,0.0670745788960159,0.3125,0.32327427371745215,0.11012151405344958
高钾,SnO2,0.188725066190209,0.0,0.5625,0.38837199024032676,0.924022014295614
高钾,SO2,0.12059864785287175,0.10180811909946674,0.4375,0.2323283584098978,0.3834163685848359
