glass_type,component,clr_weathering_effect,multiplicative_direction,effect_was_capped
铅钡,SiO2,-0.9095178784180833,0.4027183364384167,False
铅钡,Na2O,-0.6205460678696069,0.5376507636119309,False
铅钡,K2O,-0.6495045834559179,0.5223044709509913,False
铅钡,CaO,0.9188528419841813,2.506413487797633,False
铅钡,MgO,-0.21048568482477764,0.8101906530914967,False
铅钡,Al2O3,-0.5623804115397228,0.5698509682561334,False
铅钡,Fe2O3,1.0485446365467213,2.853495221966905,False
铅钡,CuO,0.45305319647681896,1.5731078680846113,False
铅钡,PbO,0.7083223818920232,2.0305818587149282,False
铅钡,BaO,0.22233560453279066,1.2489904743996223,False
铅钡,P2O5,2.402018785660088,11.045452288623816,False
铅钡,SrO,0.12907929526019735,1.1377803411769947,False
铅钡,SnO2,-0.18335760150345592,0.8324704098329336,False
铅钡,SO2,-0.18088033996116204,0.8345352132373989,False
高钾,SiO2,1.2910501433868111,3.6366035063519657,False
高钾,Na2O,0.9101392209795849,2.484668427278804,False
高钾,K2O,-1.7399226451036127,0.1755339785045517,False
高钾,CaO,-1.0448031305089853,0.35176106358335396,False
高钾,MgO,-1.3889412275761255,0.2493391583515533,False
高钾,Al2O3,-0.3378873007484795,0.7132756690027764,False
高钾,Fe2O3,-0.7349480296270445,0.4795303796999953,False
高钾,CuO,0.503553655278284,1.6545906804989245,False
高钾,PbO,0.18686650404699612,1.2054663494289055,False
高钾,BaO,0.8478861879127444,2.334706501456289,False
高钾,P2O5,-0.21610986588911954,0.8056467839107857,False
高钾,SrO,0.7735433081971772,2.167432545251759,False
高钾,SnO2,0.9628461644593238,2.619140379369547,False
高钾,SO2,0.8431262034410243,2.323619742097663,False
