artifact_id,glass_type,subclass_id,subclass_name,pca1,pca2,pca1_explained,pca2_explained
01,高钾,K-1,高钾钙铝型,-1.1686107337177274,0.9775621222053225,0.47024153648078926,0.21885469812086097
03,高钾,K-1,高钾钙铝型,-0.2967827166994716,0.5950610389646085,0.47024153648078926,0.21885469812086097
04,高钾,K-1,高钾钙铝型,-0.46540498365845256,0.3943190398330504,0.47024153648078926,0.21885469812086097
05,高钾,K-1,高钾钙铝型,-0.8074438537199421,0.3794648334173276,0.47024153648078926,0.21885469812086097
06,高钾,K-1,高钾钙铝型,-0.1313760992781598,-0.5667220538715362,0.47024153648078926,0.21885469812086097
07,高钾,K-1,高钾钙铝型,-1.1364376830579417,-1.1738297076860456,0.47024153648078926,0.21885469812086097
09,高钾,K-1,高钾钙铝型,-0.7500026140271185,0.6355586481938512,0.47024153648078926,0.21885469812086097
10,高钾,K-1,高钾钙铝型,-0.09378038639528312,1.147829552943144,0.47024153648078926,0.21885469812086097
12,高钾,K-1,高钾钙铝型,-0.6690250077592393,0.9923800569646334,0.47024153648078926,0.21885469812086097
13,高钾,K-1,高钾钙铝型,-2.2843917673369196,1.1336626668354146,0.47024153648078926,0.21885469812086097
14,高钾,K-1,高钾钙铝型,1.474222279159501,0.3063248930097582,0.47024153648078926,0.21885469812086097
16,高钾,K-1,高钾钙铝型,0.7555605285217526,0.9220780079137274,0.47024153648078926,0.21885469812086097
18,高钾,K-2,高硅含锡特殊型,6.171022912686508,-0.21355293422060226,0.47024153648078926,0.21885469812086097
21,高钾,K-1,高钾钙铝型,-1.2593226475150203,-3.645171876245255,0.47024153648078926,0.21885469812086097
22,高钾,K-1,高钾钙铝型,0.6207764898934861,-0.1813901078666313,0.47024153648078926,0.21885469812086097
27,高钾,K-1,高钾钙铝型,0.04099628290402832,-1.7035741803907667,0.47024153648078926,0.21885469812086097
02,铅钡,LB-3,富铅型,-3.783506202657858,-1.9986903676631214,0.382789421409048,0.2488751869631941
08,铅钡,LB-2,富钡铜型,2.953277375153199,0.44697875284522065,0.382789421409048,0.2488751869631941
11,铅钡,LB-2,富钡铜型,1.8741226023031683,-0.5563740121201657,0.382789421409048,0.2488751869631941
19,铅钡,LB-3,富铅型,0.5863234643071198,-1.0324181704218294,0.382789421409048,0.2488751869631941
20,铅钡,LB-2,富钡铜型,4.539398698277491,-2.636503778077455,0.382789421409048,0.2488751869631941
