year,evidence_grade,domain,pre_date,post_date,distance_m,pre_bed_elevation_m,post_bed_elevation_m,bed_change_m
2016,B,full_common,2016-06-08,2016-10-20,0.0,47.754999999999995,47.754999999999995,0.0
2016,B,full_common,2016-06-08,2016-10-20,5.0,49.425650659137716,49.47861490885416,0.05296424971644598
2016,B,full_common,2016-06-08,2016-10-20,10.0,50.57050016169938,50.908398437500004,0.3378982758006259
2016,B,full_common,2016-06-08,2016-10-20,15.0,50.90933629587156,51.6315087890625,0.7221724931909392
2016,B,full_common,2016-06-08,2016-10-20,20.0,50.92357798165137,51.64560291905517,0.7220249374038019
2016,B,full_common,2016-06-08,2016-10-20,25.0,50.58419249999999,51.60807045828759,1.0238779582875992
2016,B,full_common,2016-06-08,2016-10-20,30.0,48.95028,51.542998434768464,2.5927184347684644
2016,B,full_common,2016-06-08,2016-10-20,35.0,46.89561749999999,51.4515779236289,4.55596042362891
2016,B,full_common,2016-06-08,2016-10-20,40.0,45.47208,51.335,5.862920000000003
2016,B,full_common,2016-06-08,2016-10-20,45.0,45.31512572086197,50.475810145801255,5.160684424939284
2016,B,full_common,2016-06-08,2016-10-20,50.0,45.31591894070514,48.68794695189688,3.3720280111917447
2016,B,full_common,2016-06-08,2016-10-20,55.0,45.31749239719074,46.76969115683511,1.452198759644368
2016,B,full_common,2016-06-08,2016-10-20,60.0,45.3199045098968,45.51932349916415,0.19941898926735036
2016,B,full_common,2016-06-08,2016-10-20,65.0,45.323213698401325,45.38790487349229,0.06469117509096378
2016,B,full_common,2016-06-08,2016-10-20,70.0,45.32747838228232,45.4053771387458,0.0778987564634761
2016,B,full_common,2016-06-08,2016-10-20,75.0,45.332756981117804,45.4380696950905,0.10531271397269393
2016,B,full_common,2016-06-08,2016-10-20,80.0,45.33910791448579,45.48532690325701,0.1462189887712242
2016,B,full_common,2016-06-08,2016-10-20,85.0,45.356675221964416,45.54649312397601,0.18981790201159754
2016,B,full_common,2016-06-08,2016-10-20,90.0,45.663827499472156,45.632365052615164,-0.03146244685699173
2016,B,full_common,2016-06-08,2016-10-20,95.0,46.21907508628465,46.04105286216265,-0.17802222412199598
2016,B,full_common,2016-06-08,2016-10-20,100.0,46.79532938671372,46.660482575252466,-0.13484681146125155
2016,B,full_common,2016-06-08,2016-10-20,105.0,47.1655018050712,47.160160091097666,-0.005341713973535889
2016,B,full_common,2016-06-08,2016-10-20,110.0,47.198522034236966,47.26448014798232,0.06595811374535288
2016,B,full_common,2016-06-08,2016-10-20,115.0,47.15838432287352,47.25782454462759,0.0994402217540653
2016,B,full_common,2016-06-08,2016-10-20,120.0,47.080452756725954,47.241540567590704,0.16108781086474977
2016,B,full_common,2016-06-08,2016-10-20,125.0,46.96343793857956,47.21315698782341,0.24971904924385058
2016,B,full_common,2016-06-08,2016-10-20,130.0,46.806050471219585,47.17020257627747,0.3641521050578831
2016,B,full_common,2016-06-08,2016-10-20,135.0,46.6070009574313,47.11020610390466,0.5032051464733556
2016,B,full_common,2016-06-08,2016-10-20,140.0,46.364999999999995,46.62181016969716,0.2568101696971681
2016,B,full_common,2016-06-08,2016-10-20,145.0,45.25410539171226,44.835,-0.41910539171225736
2016,B,full_common,2016-06-08,2016-10-20,150.0,44.265,44.65810190564673,0.39310190564673064
2016,B,full_common,2016-06-08,2016-10-20,155.0,44.24684812956337,44.50691103756091,0.2600629079975434
2016,B,full_common,2016-06-08,2016-10-20,160.0,44.23262933294723,44.3795606175194,0.14693128457216886
2016,B,full_common,2016-06-08,2016-10-20,165.0,44.221714696671974,44.274183867298994,0.05246917062702039
2016,B,full_common,2016-06-08,2016-10-20,170.0,44.21347530725794,44.1889140086765,-0.02456129858143896
2016,B,full_common,2016-06-08,2016-10-20,175.0,44.20728225122551,44.12188426342877,-0.08539798779673902
2016,B,full_common,2016-06-08,2016-10-20,180.0,44.20250661509504,44.071227853332594,-0.13127876176244513
2016,B,full_common,2016-06-08,2016-10-20,185.0,44.19851948538689,44.03507800016481,-0.16344148522208002
2016,B,full_common,2016-06-08,2016-10-20,190.0,44.194691948621426,44.011567925702245,-0.18312402291918062
2016,B,full_common,2016-06-08,2016-10-20,195.0,44.190395091319,43.9988308517217,-0.19156423959729807
