wind_speed_m_s,x_from_anchor_m,height_above_seabed_m
12.0,0.0,0.0
12.0,6.824596715665187,0.0
12.0,6.976797316991985,0.0034930589856360075
12.0,7.12867853900394,0.0139502540220066
12.0,7.279926983940743,0.03130632526321674
12.0,7.430240909797339,0.05545474335936872
12.0,7.579335320271426,0.08625089868801411
12.0,7.726946249577551,0.12351625494342351
12.0,7.872834094197919,0.1670432014631766
12.0,8.01678592306967,0.21660031848600464
12.0,8.15861677347515,0.27193777705608996
12.0,8.298170003928917,0.3327926254918709
12.0,8.435316822649764,0.39889375997684895
12.0,8.569955139041788,0.469966430093249
12.0,8.702007897039437,0.5457361839935266
12.0,8.831421046153217,0.6259322070358602
12.0,8.958161292481595,0.7102900487230676
12.0,9.082213751838065,0.7985537641706365
12.0,9.203579604023613,0.8904775180655445
12.0,9.322273823925045,0.9858267121462512
12.0,9.438323043456084,1.0843787031648693
12.0,9.551763579512325,1.1859231787925626
12.0,9.662639647581829,1.2902622556296546
12.0,9.771001768479696,1.397210357790991
12.0,9.876905366603783,1.5065939275781546
12.0,9.980409551725693,1.6182510123581173
12.0,10.081576072161845,1.7320307645195718
12.0,10.180468424743895,1.8477928846382667
12.0,10.277151105899362,1.9654070319528707
12.0,10.37168898799779,2.0847522210175575
12.0,10.464146805617327,2.205716218961421
12.0,10.554588737308285,2.328194954102854
12.0,10.643078069597188,2.452091943666599
12.0,10.729676931258012,2.5773177459469148
12.0,10.814446087186038,2.703789440365246
12.0,10.89744478248293,2.8314301374013633
12.0,10.978730628560847,2.96016851925797
12.0,11.058359524176478,3.089938411283557
12.0,11.136385605302817,3.220678383570092
12.0,11.212861218634654,3.3523313817130735
12.0,11.287836914306547,3.484844385432205
12.0,11.361361454085396,3.6181680935690244
12.0,11.43348183189209,3.7522566338776007
12.0,11.504243304016734,3.887067295984993
12.0,11.573689426828814,4.022560285903321
12.0,11.641862100156139,4.158698500512353
12.0,11.70880161482259,4.295447320490468
12.0,11.774546703102324,4.432774420245286
12.0,11.839134591073499,4.5706495934773494
12.0,11.902601052044375,4.709044593096858
12.0,11.96498046038341,4.847932984301344
12.0,12.026305845217856,4.987290009709036
12.0,12.086608943576042,5.127092465527217
12.0,12.145920252640442,5.267318587815568
12.0,12.204269080854832,5.407947947981184
12.0,12.261683597691713,5.548961356713692
12.0,12.318190881937916,5.690340775636221
12.0,12.373816968398655,5.832069236009986
12.0,12.428586892954847,5.974130763887968
12.0,12.482524735936504,6.116510311165983
12.0,12.53565366379761,6.259193692028137
12.0,12.587995969095832,6.402167524328143
12.0,12.639573108794764,6.545419175488646
12.0,12.690405740917477,6.688936712537826
12.0,12.740513759588776,6.832708855936464
12.0,12.78991632850995,6.976724936879356
12.0,12.838631912914607,7.1209748577831045
12.0,12.886678310057361,7.265449055697688
12.0,12.934072678289393,7.410138468402495
12.0,12.980831564776015,7.555034502968493
12.0,13.026970931911837,7.70012900658733
12.0,13.072506182489029,7.845414239485563
12.0,13.117452183673455,7.990882849757975
12.0,13.16182328984254,8.136527849968301
12.0,13.20563336433739,8.282342595378674
12.0,13.248895800180229,8.428320763681
12.0,13.291623539806556,8.57445633611422
12.0,13.333829093859666,8.720743579861184
12.0,13.37552455909335,8.867177031627797
12.0,13.416721635426772,9.013751482315271
12.0,13.457431642193576,9.160461962703526
12.0,13.497665533625515,9.307303730070775
12.0,13.537433913608929,9.454272255680205
12.0,13.576747049750724,9.601363213070433
12.0,13.615614886788645,9.748572467091432
12.0,13.654047059379005,9.895896063632353
12.0,13.692052904293341,10.04333021999186
12.0,13.729641472053885,10.19087131584551
12.0,13.76682153803625,10.338515884768286
12.0,13.80360161306621,10.486260606273635
12.0,13.839989953536131,10.634102298333335
12.0,13.87599457106522,10.782037910345245
12.0,13.911623241726506,10.930064516518518
12.0,13.94688351486229,11.078179309648148
12.0,13.981782721508598,11.226379595252777
12.0,14.016327982448153,11.374662786051717
12.0,14.050526215910274,11.523026396758834
12.0,14.084384144935168,11.671468039172616
12.0,14.117908304419196,11.819985417543263
12.0,14.151105047856714,11.968576324198958
12.0,14.183980553793358,12.117238635414855
12.0,14.2165408320048,12.265970307509393
24.0,0.0,0.0
24.0,0.323252962432111,0.0
24.0,0.5405105000446873,0.0017991817786818622
24.0,0.7577084704871707,0.007195247295835711
24.0,0.9747874534163706,0.016183763173843176
24.0,1.1916883211392348,0.028757360655354558
24.0,1.4083523824421749,0.04490576570869595
24.0,1.6247215234627677,0.06461584077381312
24.0,1.8407383446792134,0.08787163775529672
24.0,2.056346293143685,0.11465446176828048
24.0,2.2714897891470955,0.14494294505017347
24.0,2.48611434657348,0.1787131303682866
24.0,2.700166686280732,0.21593856318098023
24.0,2.913594841929246,0.2565903917492049
24.0,3.1263482577694166,0.30063747434686433
24.0,3.338377877991347,0.3480464926822742
24.0,3.549636227333709,0.3987820706195377
24.0,3.7600774827420205,0.45280689727749557
24.0,3.9696575359580586,0.5100818535845122
24.0,4.1783340470103365,0.5705661413793136
24.0,4.386066488659361,0.6342174141701389
24.0,4.592816181929692,0.7009919086961289
24.0,4.798546322932682,0.7708445764744195
24.0,5.003222001248676,0.8437292145632774
24.0,5.206810210194777,0.9195985948240541
24.0,5.4092798493538385,0.9984045910218338
24.0,5.610601719781843,1.0800983031650424
