interval,start_date,end_date,days,distance_m,raw_change_m,annualized_change_m_per_year
g1,2016-10-20,2017-05-11,203,1820.0,0.04407396702626443,0.0793005736765669
g1,2016-10-20,2017-05-11,203,1825.0,-0.015595807042544152,-0.02806092868122784
g1,2016-10-20,2017-05-11,203,1830.0,-0.07134683492774485,-0.12837158353378722
g1,2016-10-20,2017-05-11,203,1835.0,-0.06160635049867835,-0.11084590896375501
g1,2016-10-20,2017-05-11,203,1840.0,0.017201913291266635,0.030950733150912013
g1,2016-10-20,2017-05-11,203,1845.0,0.10245226948911323,0.18433838143299808
g1,2016-10-20,2017-05-11,203,1850.0,0.1288982291878682,0.23192156754122592
g1,2016-10-20,2017-05-11,203,1855.0,0.043124771015669694,0.0775927222338589
g1,2016-10-20,2017-05-11,203,1860.0,-0.09012477101567384,-0.16215799316982693
g1,2016-10-20,2017-05-11,203,1865.0,-0.17589822918787235,-0.31648683847719394
g1,2016-10-20,2017-05-11,203,1870.0,-0.14618750000000347,-0.26302947967980916
g1,2016-10-20,2017-05-11,203,1875.0,-0.05441503906249778,-0.09790686215555326
g1,2016-10-20,2017-05-11,203,1880.0,0.021976562500000796,0.039541573660715715
g1,2016-10-20,2017-05-11,203,1885.0,-0.0023556189903857216,-0.004238373577528989
g1,2016-10-20,2017-05-11,203,1890.0,-0.1543895463510907,-0.27778710248638366
g1,2016-10-20,2017-05-11,203,1895.0,-0.32174414062500745,-0.5789017111491821
g1,2016-10-20,2017-05-11,203,1900.0,-0.39818222232495515,-0.7164337768679304
g1,2016-10-20,2017-05-11,203,1905.0,-0.44017065863074123,-0.7919819362801884
g1,2016-10-20,2017-05-11,203,1910.0,-0.4681976701183572,-0.8424098473434974
g1,2016-10-20,2017-05-11,203,1915.0,-0.4757267599437185,-0.8559566456622817
g1,2016-10-20,2017-05-11,203,1920.0,-0.4666531466826882,-0.8396308464327679
g1,2016-10-20,2017-05-11,203,1925.0,-0.4462304217327002,-0.8028850322062501
g1,2016-10-20,2017-05-11,203,1930.0,-0.41649937138068793,-0.7493911103290456
g1,2016-10-20,2017-05-11,203,1935.0,-0.3795007819135421,-0.6828209881473953
g1,2016-10-20,2017-05-11,203,1940.0,-0.33727543961821027,-0.6068465730076419
g1,2016-10-20,2017-05-11,203,1945.0,-0.29186413078159745,-0.5251397722560516
g1,2016-10-20,2017-05-11,203,1950.0,-0.24049513368241549,-0.43271353486454317
g1,2016-10-20,2017-05-11,203,1955.0,-0.18040077404619836,-0.3245880922185909
g1,2016-10-20,2017-05-11,203,1960.0,-0.11362790933007005,-0.20444627528476889
g1,2016-10-20,2017-05-11,203,1965.0,-0.024595967021625142,-0.04425456627905706
g1,2016-10-20,2017-05-11,203,1970.0,0.07853111135034396,0.14129797251582824
g1,2016-10-20,2017-05-11,203,1975.0,0.15808969726700894,0.28444464003337444
g1,2016-10-20,2017-05-11,203,1980.0,0.19092122918377896,0.34351713773091264
g1,2016-10-20,2017-05-11,203,1985.0,0.21476592909792203,0.3864199783399804
g1,2016-10-20,2017-05-11,203,1990.0,0.23477722560887315,0.4224255253873937
g1,2016-10-20,2017-05-11,203,1995.0,0.25261786672607656,0.454525496658618
g1,2016-10-20,2017-05-11,203,2000.0,0.2396209975776955,0.431140735789425
g1,2016-10-20,2017-05-11,203,2005.0,0.21056457063659906,0.37886063756166405
g1,2016-10-20,2017-05-11,203,2010.0,0.2025689516811866,0.36447443153474585
g1,2016-10-20,2017-05-11,203,2015.0,0.31897396838318315,0.5739174480392002
g1,2016-10-20,2017-05-11,203,2020.0,0.5381844485625393,0.9683343341747167
g1,2016-10-20,2017-05-11,203,2025.0,0.7129559572518787,1.2827939083066437
g1,2016-10-20,2017-05-11,203,2030.0,0.7448799057331215,1.3402334264483873
g1,2016-10-20,2017-05-11,203,2035.0,0.754601123351442,1.3577244349956363
