task_id,original_price,original_probability,cost-neutral_price,cost-neutral_probability,balanced-5_price,balanced-5_probability,enhanced-10_price,enhanced-10_probability,enhanced-15_price,enhanced-15_probability,wide-10_price,wide-10_probability,wide-15_price,wide-15_probability,completion-first-20_price,completion-first-20_probability
A0001,66.0,0.34387688083547585,71.0,0.4069390834863085,71.0,0.4069390834863085,71.0,0.4069390834863085,71.0,0.4069390834863085,74.0,0.44646229261591164,74.0,0.44646229261591164,76.0,0.47322501972833325
A0002,65.5,0.20338947570449586,70.5,0.2505254225460459,70.5,0.2505254225460459,70.5,0.2505254225460459,70.5,0.2505254225460459,73.5,0.2820828587683909,73.5,0.2820828587683909,75.5,0.30441086413563767
A0003,65.5,0.233727943950429,70.5,0.2853761229769267,70.5,0.2853761229769267,70.5,0.2853761229769267,70.5,0.2853761229769267,73.5,0.31945236914812036,73.5,0.31945236914812036,75.5,0.3433237670941636
A0004,75.0,0.6403954115803158,70.0,0.576311453466878,77.0,0.6648210219596379,80.0,0.6998349225028104,80.0,0.6998349225028104,79.0,0.6883948348800218,83.0,0.7326619779032874,85.0,0.7532354182034354
A0005,65.5,0.2880077426430243,70.5,0.3462308572898056,70.5,0.3462308572898056,70.5,0.3462308572898056,70.5,0.3462308572898056,73.5,0.3836723382208787,73.5,0.3836723382208787,75.5,0.40945535127631777
A0006,75.0,0.6333425633786072,70.5,0.5754433700144126,77.5,0.6640285649749468,80.0,0.6933896960128784,80.0,0.6933896960128784,79.0,0.6818156476074644,83.0,0.7266463019384604,85.0,0.7475231562845813
A0007,65.5,0.24946316411310276,70.5,0.30321256062019547,70.5,0.30321256062019547,70.5,0.30321256062019547,70.5,0.30321256062019547,73.5,0.33841004906880834,73.5,0.33841004906880834,75.5,0.362942575403457
A0008,65.5,0.2978263221935654,70.5,0.35703898252839544,70.5,0.35703898252839544,70.5,0.35703898252839544,70.5,0.35703898252839544,73.5,0.3949431863927579,73.5,0.3949431863927579,75.5,0.42096627992101177
A0009,66.0,0.4856659436442267,71.0,0.5528219660516658,71.0,0.5528219660516658,71.0,0.5528219660516658,71.0,0.5528219660516658,74.0,0.5923618757150785,74.0,0.5923618757150785,76.0,0.6181044591104774
A0010,66.0,0.2454086352456056,71.0,0.2986320356754998,71.0,0.2986320356754998,71.0,0.2986320356754998,71.0,0.2986320356754998,74.0,0.3335523407141734,74.0,0.3335523407141734,76.0,0.3579232308015675
A0011,65.5,0.30074949324489186,70.5,0.3602451601398937,70.5,0.3602451601398937,70.5,0.3602451601398937,70.5,0.3602451601398937,73.5,0.3982788959576605,73.5,0.3982788959576605,75.5,0.4243676264575566
A0012,65.5,0.32836599966015273,70.5,0.3902756788622046,70.5,0.3902756788622046,70.5,0.3902756788622046,70.5,0.3902756788622046,73.5,0.42935214352023593,73.5,0.42935214352023593,75.5,0.45593402068549305
A0013,65.5,0.30464858219364105,70.5,0.36451349400241606,70.5,0.36451349400241606,70.5,0.36451349400241606,70.5,0.36451349400241606,73.5,0.4027141998188525,73.5,0.4027141998188525,75.5,0.4288863800201964
A0014,66.0,0.3538946921450922,71.0,0.4176246836989923,71.0,0.4176246836989923,71.0,0.4176246836989923,71.0,0.4176246836989923,74.0,0.45738531658153186,74.0,0.45738531658153186,76.0,0.48423002647072494
A0015,66.0,0.3575588052362898,71.0,0.421518158161241,71.0,0.421518158161241,71.0,0.421518158161241,71.0,0.421518158161241,74.0,0.46135582050127283,74.0,0.46135582050127283,76.0,0.48822388948380446
A0016,66.0,0.2975421482041851,71.0,0.3567270131806321,71.0,0.3567270131806321,71.0,0.3567270131806321,71.0,0.3567270131806321,74.0,0.394618424697849,74.0,0.394618424697849,76.0,0.4206349958590045
A0017,65.5,0.3172171268934915,70.5,0.37820848081654473,70.5,0.37820848081654473,70.5,0.37820848081654473,70.5,0.37820848081654473,73.5,0.4169028498264908,73.5,0.4169028498264908,75.5,0.44331273955453604
A0018,66.0,0.42929947724988227,71.0,0.4961804019916268,71.0,0.4961804019916268,71.0,0.4961804019916268,71.0,0.4961804019916268,74.0,0.5365297956685856,74.0,0.5365297956685856,76.0,0.5631982969181969
A0019,65.5,0.3054903846974125,70.5,0.3654337811310839,70.5,0.3654337811310839,70.5,0.3654337811310839,70.5,0.3654337811310839,73.5,0.4036696688862485,73.5,0.4036696688862485,75.5,0.42985925519726154
A0020,66.0,0.33034377042066937,71.0,0.3924084735621638,71.0,0.3924084735621638,71.0,0.3924084735621638,71.0,0.3924084735621638,74.0,0.43154734200101935,74.0,0.43154734200101935,76.0,0.458156010766681
A0021,66.0,0.4819434102540008,71.0,0.5491342601711875,71.0,0.5491342601711875,71.0,0.5491342601711875,71.0,0.5491342601711875,74.0,0.5887576776284094,74.0,0.5887576776284094,76.0,0.6145797756087332
A0022,65.0,0.3275887572736143,70.0,0.3894368653951949,70.0,0.3894368653951949,70.0,0.3894368653951949,70.0,0.3894368653951949,73.0,0.4284883657174973,73.0,0.4284883657174973,75.0,0.4550594105925863
A0023,65.5,0.3309005731411602,70.5,0.39300849333251753,70.5,0.39300849333251753,70.5,0.39300849333251753,70.5,0.39300849333251753,73.5,0.43216464082266554,73.5,0.43216464082266554,75.5,0.45878065289441894
A0024,66.5,0.2869924158129957,71.5,0.3451097637847019,71.5,0.3451097637847019,71.5,0.3451097637847019,71.5,0.3451097637847019,74.5,0.3825009405959868,74.5,0.3825009405959868,76.5,0.40825737848963034
A0025,67.5,0.31678504272222335,72.5,0.3777392808054602,72.5,0.3777392808054602,72.5,0.3777392808054602,72.5,0.3777392808054602,75.5,0.4164177945102531,75.5,0.4164177945102531,77.5,0.4428202921336942
A0026,66.0,0.33571165737841074,71.0,0.3981852006316604,71.0,0.3981852006316604,71.0,0.3981852006316604,71.0,0.3981852006316604,74.0,0.43748537860540726,74.0,0.43748537860540726,76.0,0.46416121993511983
A0027,65.5,0.30914305311687196,70.5,0.36942193701488546,70.5,0.36942193701488546,70.5,0.36942193701488546,70.5,0.36942193701488546,73.5,0.407806940249612,73.5,0.407806940249612,75.5,0.4340695635988757
A0028,66.5,0.2971875028109323,71.5,0.3563376091119544,71.5,0.3563376091119544,71.5,0.3563376091119544,71.5,0.3563376091119544,74.5,0.39421300610988097,74.5,0.39421300610988097,76.5,0.4202214021397526
A0029,66.0,0.38249502440983746,71.0,0.4478057518884154,71.0,0.4478057518884154,71.0,0.4478057518884154,71.0,0.4478057518884154,74.0,0.48803187491518546,74.0,0.48803187491518546,76.0,0.5149682292403339
A0030,68.0,0.46558912694938065,73.0,0.5328450634923262,73.0,0.5328450634923262,73.0,0.5328450634923262,73.0,0.5328450634923262,76.0,0.5727863167623747,76.0,0.5727863167623747,78.0,0.598928105763255
A0031,67.0,0.18878610481896674,72.0,0.23352982970614808,72.0,0.23352982970614808,72.0,0.23352982970614808,72.0,0.23352982970614808,75.0,0.2636996655685478,75.0,0.2636996655685478,77.0,0.2851505214451229
