candidate_id,margin_m,rotation_deg,phase_1,phase_2,baseline_core_count,replacement_count,mirror_count,mirror_delta,minimum_center_distance_m,maximum_site_radius_m,minimum_tower_distance_m,spacing_constraint_satisfied,site_constraint_satisfied,tower_exclusion_satisfied
zoned-m11.35-o0.0,11.35,0.0,per-zone,per-zone,590,415,2993,-175,11.349999999999925,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o5.0,11.35,5.0,per-zone,per-zone,590,409,2987,-181,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o10.0,11.35,10.0,per-zone,per-zone,590,410,2988,-180,11.349999999999904,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o15.0,11.35,15.0,per-zone,per-zone,590,510,3088,-80,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o20.0,11.35,20.0,per-zone,per-zone,590,409,2987,-181,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o25.0,11.35,25.0,per-zone,per-zone,590,409,2987,-181,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o30.0,11.35,30.0,per-zone,per-zone,590,413,2991,-177,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o35.0,11.35,35.0,per-zone,per-zone,590,409,2987,-181,11.349999999999918,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o40.0,11.35,40.0,per-zone,per-zone,590,409,2987,-181,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o45.0,11.35,45.0,per-zone,per-zone,590,498,3076,-92,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o50.0,11.35,50.0,per-zone,per-zone,590,410,2988,-180,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o55.0,11.35,55.0,per-zone,per-zone,590,411,2989,-179,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o0.0,17.025,0.0,per-zone,per-zone,427,267,3008,-160,11.349999999999925,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o5.0,17.025,5.0,per-zone,per-zone,427,271,3012,-156,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o10.0,17.025,10.0,per-zone,per-zone,427,272,3013,-155,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o15.0,17.025,15.0,per-zone,per-zone,427,352,3093,-75,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o20.0,17.025,20.0,per-zone,per-zone,427,264,3005,-163,11.349999999999943,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o25.0,17.025,25.0,per-zone,per-zone,427,269,3010,-158,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o30.0,17.025,30.0,per-zone,per-zone,427,277,3018,-150,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o35.0,17.025,35.0,per-zone,per-zone,427,269,3010,-158,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o40.0,17.025,40.0,per-zone,per-zone,427,265,3006,-162,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o45.0,17.025,45.0,per-zone,per-zone,427,340,3081,-87,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o50.0,17.025,50.0,per-zone,per-zone,427,271,3012,-156,11.349999999999936,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o55.0,17.025,55.0,per-zone,per-zone,427,271,3012,-156,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o0.0,22.7,0.0,per-zone,per-zone,258,128,3038,-130,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o5.0,22.7,5.0,per-zone,per-zone,258,127,3037,-131,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o10.0,22.7,10.0,per-zone,per-zone,258,129,3039,-129,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o15.0,22.7,15.0,per-zone,per-zone,258,197,3107,-61,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o20.0,22.7,20.0,per-zone,per-zone,258,121,3031,-137,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o25.0,22.7,25.0,per-zone,per-zone,258,121,3031,-137,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o30.0,22.7,30.0,per-zone,per-zone,258,124,3034,-134,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o35.0,22.7,35.0,per-zone,per-zone,258,123,3033,-135,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o40.0,22.7,40.0,per-zone,per-zone,258,123,3033,-135,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o45.0,22.7,45.0,per-zone,per-zone,258,190,3100,-68,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o50.0,22.7,50.0,per-zone,per-zone,258,128,3038,-130,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o55.0,22.7,55.0,per-zone,per-zone,258,128,3038,-130,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
