design_id,tower_y_m,width_m,height_m,mirror_count,total_area_m2,avg_optical_efficiency,avg_cosine_efficiency,avg_shadow_blocking_efficiency,avg_truncation_efficiency,field_power_mw,unit_area_power_kw_m2,check_minimum_center_distance_m,check_required_minimum_center_distance_m,check_spacing_constraint_satisfied,check_maximum_site_radius_m,check_minimum_tower_distance_m,check_site_constraint_satisfied,check_tower_exclusion_satisfied
1,-60.0,6.0,6.0,3364,121104.0,0.499931752413644,0.7794426173587405,0.7848682743757432,0.9488758791179643,58.09921015006645,0.4797464175424961,10.999999999999968,11.0,True,349.9828741712616,100.81666528902846,True,True
2,-60.0,6.0,5.4,3364,108993.60000000002,0.5284834824499213,0.7794426173587405,0.8238409755251684,0.9519169920310674,55.19897570633839,0.5064423572240789,10.999999999999968,11.0,True,349.9828741712616,100.81666528902846,True,True
3,-60.0,6.4,6.4,3142,128696.32000000002,0.480792913343989,0.7790388850044768,0.766811876723955,0.9365117763142509,59.366006953048405,0.4612875251836912,11.399999999999977,11.4,True,349.80686676798354,101.3254163573977,True,True
4,-60.0,6.4,5.800000000000001,3142,116631.04000000001,0.5206752278902522,0.7791903837287903,0.8079497533418203,0.9563190228948503,58.22437781776778,0.4992185426604081,11.399999999999977,11.4,True,349.80686676798354,101.3254163573977,True,True
5,-60.0,6.8,6.8,2948,136315.52,0.4656056799793536,0.7793586447246145,0.7504752515829941,0.9322732517196984,60.93258607181548,0.4469966887982783,11.799999999999953,11.8,True,349.9212670036049,100.81924419474687,True,True
6,-60.0,6.8,6.2,2948,124287.68,0.48360575859461075,0.779586116858432,0.787599643826323,0.9164830004456445,57.69309286188123,0.464189957217652,11.799999999999953,11.8,True,349.9212670036049,100.81924419474687,True,True
7,-60.0,7.2,7.2,2730,141523.2,0.4582272228940239,0.7784955804883568,0.7347279456654457,0.9375266015696417,62.192928256889395,0.43945394293578305,12.19999999999996,12.2,True,349.9539803145307,104.23684569287386,True,True
8,-60.0,7.2,6.6000000000000005,2730,129729.6,0.4539515371455962,0.7787233938530648,0.7817841880341881,0.8676625836092411,56.4919146039828,0.43545894386464457,12.19999999999996,12.2,True,349.9539803145307,104.23684569287386,True,True
9,-60.0,7.6,7.6,2579,148963.04,0.4093878239130409,0.7786548701862314,0.7237180108569213,0.8506211927281141,58.42222236411421,0.3921927369642444,12.59999999999994,12.6,True,349.95983996664233,100.00939955824151,True,True
10,-60.0,7.6,7.0,2579,137202.8,0.41270721458931287,0.7788832453967487,0.7550932208866485,0.8228817793099008,54.26223206368902,0.395489247039339,12.59999999999994,12.6,True,349.95983996664233,100.00939955824151,True,True
11,-60.0,8.0,8.0,2414,154496.0,0.39439054626041176,0.778952666896489,0.7042728182822424,0.8457188630319327,58.49953143904978,0.3786475471148107,12.999999999999984,13.0,True,349.1933752571287,101.5332457867865,True,True
12,-60.0,8.0,7.4,2414,142908.80000000002,0.42905586327539497,0.7791811673092375,0.7504595588235294,0.8595414920238863,58.74979513878302,0.41109991224321396,12.999999999999984,13.0,True,349.1933752571287,101.5332457867865,True,True
13,-80.0,6.0,6.0,3372,121392.0,0.48646718255645754,0.7890871280558781,0.779654445927244,0.9156198737817584,56.67911440097296,0.4669097996653236,10.999999999999968,11.0,True,349.9684458002674,100.81666528902846,True,True
14,-80.0,6.0,5.4,3372,109252.80000000002,0.5160925762311387,0.7890871280558781,0.8189316429418744,0.9219991862433292,54.05509058001396,0.4947707571798064,10.999999999999968,11.0,True,349.9684458002674,100.81666528902846,True,True
15,-80.0,6.4,6.4,3142,128696.32000000002,0.4779242405017592,0.7888012596181116,0.7590043496711226,0.9281662061121801,58.9340388249175,0.45793103349744185,11.399999999999977,11.4,True,349.9655764657996,101.3254163573977,True,True
16,-80.0,6.4,5.800000000000001,3142,116631.04000000001,0.4979624033541523,0.7889483183915251,0.7885187911096967,0.9314533977895293,55.63192623927271,0.47699074139502406,11.399999999999977,11.4,True,349.9655764657996,101.3254163573977,True,True
17,-80.0,6.8,6.8,2948,136315.52,0.46797283492836345,0.7892815830569972,0.7435549525101764,0.932123876464319,61.19985736484504,0.44895737011343284,11.799999999999953,11.8,True,349.9987565428042,100.81924419474687,True,True
18,-80.0,6.8,6.2,2948,124287.68,0.5118354428955992,0.7895022419899594,0.7835520550655812,0.9614485990556633,60.99234868832485,0.49073527390908617,11.799999999999953,11.8,True,349.9987565428042,100.81924419474687,True,True
