candidate_id,task_ids,region,task_count,route_length_km,compactness,price_multiplier,average_reward,total_reward,bundle_probability,expected_completions,expected_payout,baseline_completions,baseline_expected_payout,completion_gain,payout_change,budget_relaxation
candidate-00001,A0001;A0029,2,2,0.19946319903218218,0.8005368009678178,0.9,66.60000000000001,133.20000000000002,0.5327606657087367,1.0655213314174734,70.96372067240374,0.9344941675310969,69.15256839730117,0.13102716388637647,1.8111522751025717,0.0
candidate-00016,A0002;A0364;A0446,2,3,1.2087372686974263,0.39563136565128687,0.9,67.95,203.85000000000002,0.32933764976187907,0.9880129492856372,67.13547990395905,0.9196285069426329,69.80723168441492,0.06838444234300434,-2.671751780455864,0.0
candidate-00021,A0003;A0360,2,2,0.6868979989446738,0.31310200105532615,0.9,66.15,132.3,0.3111938105842959,0.6223876211685918,41.170941140302354,0.6236629905482636,45.839229805297364,-0.0012753693796717647,-4.668288664995011,0.0
candidate-00026,A0005;A0008,2,2,0.7382753332318769,0.2617246667681231,0.9,66.15,132.3,0.38195026185655745,0.7639005237131149,50.532019643622554,0.7786155246136366,57.22824105910229,-0.01471500090052169,-6.696221415479734,0.0
candidate-00041,A0007;A0013;A0019,2,3,0.8001218239797592,0.5999390880101204,0.9,66.15,198.45000000000002,0.44285129113199495,1.3285538733959847,87.8838387251444,1.1447939177739093,84.14235295638233,0.18375995562207548,3.7414857687620753,0.0
candidate-00056,A0010;A0016;A0124,2,3,0.8654166562411849,0.5672916718794075,0.9,66.60000000000001,199.8,0.4242100577531398,1.2726301732594194,84.75716953907734,1.105605819832681,81.81483066761841,0.16702435342673838,2.9423388714589294,0.0
candidate-00066,A0011;A0017,2,2,0.6284624169332029,0.3715375830667971,0.9,66.15,132.3,0.4146761643939107,0.8293523287878214,54.86165654931439,0.8151817457841513,59.91585831513512,0.014170583003670134,-5.0542017658207286,0.0
candidate-00096,A0012;A0036,2,2,0.7644074224336025,0.2355925775663975,0.9,66.15,132.3,0.4054088361820903,0.8108176723641806,53.63558902689055,0.8328939504419193,61.217705357481066,-0.02207627807773871,-7.582116330590516,0.0
candidate-00221,A0014;A0015;A0020,2,3,1.120528692234515,0.4397356538827425,0.9,66.60000000000001,199.8,0.48800919143690963,1.464027574310729,97.50423644909455,1.3502884790838239,99.92134745220295,0.11373909522690506,-2.4171110031084027,0.0
candidate-00256,A0022;A0023,2,2,0.65341879971867,0.34658120028133,0.9,65.925,131.85,0.4345039623603771,0.8690079247207542,57.28934743721572,0.8606530065401627,63.043751797843214,0.00835491818059142,-5.754404360627497,0.0
candidate-00281,A0024;A0369,2,2,0.77558187122923,0.22441812877077005,0.9,67.05,134.1,0.40279104911987795,0.8055820982397559,54.014279686975634,0.8339170771420237,62.12682224708077,-0.02833497890226777,-8.112542560105133,0.0
candidate-00286,A0027;A0356,2,2,0.6279422347871558,0.37205776521284417,0.9,66.15,132.3,0.4292055471345661,0.8584110942691322,56.7838938859031,0.8440245187841969,62.03580213063847,0.014386575484935271,-5.251908244735375,0.0
candidate-00291,A0031;A0035,2,2,0.7039261633516458,0.2960738366483542,0.9,67.275,134.55,0.25992852841873887,0.5198570568374777,34.97338349874132,0.5271370434540461,39.40355957011071,-0.007279986616568368,-4.430176071369388,0.0
candidate-00296,A0032;A0462,2,2,0.0,1.0,0.9,66.15,132.3,0.5099137484113706,1.0198274968227412,67.46158891482433,0.8338556567880562,61.28839077392213,0.18597184003468503,6.173198140902201,0.0
candidate-00306,A0041;A0052,2,2,0.2222112287387665,0.7777887712612335,0.9,65.925,131.85,0.5201150182990866,1.0402300365981731,68.57716516273456,0.9133816718700667,66.90740753425538,0.12684836472810646,1.669757628479175,0.0
candidate-00341,A0042;A0055,2,2,0.7597177898309037,0.24028221016909634,0.9,67.275,134.55,0.44937660412899555,0.8987532082579911,60.46362208555636,0.9233219732025955,69.02028181872686,-0.02456876494460436,-8.556659733170498,0.0
