task_id,latitude,longitude,region,original_price,original_probability,greedy_price,greedy_probability,exact_milp_price,exact_milp_probability,practical_milp_price,practical_milp_probability,practical_price_change,practical_probability_change
A0001,22.566142254795,113.980836777953,2,66.0,0.3438768808354758,74.0,0.4464622926159116,74.0,0.4464622926159116,74.0,0.4464622926159116,8.0,0.1025854117804357
A0002,22.6862052598878,113.940525211308,2,65.5,0.2033894757044958,73.5,0.2820828587683909,73.5,0.2820828587683909,73.5,0.2820828587683909,8.0,0.078693383063895
A0003,22.5765118283363,113.95719800411,2,65.5,0.233727943950429,73.5,0.3194523691481203,73.5,0.3194523691481203,73.5,0.3194523691481203,8.0,0.0857244251976913
A0005,22.5588877510826,113.950722665736,2,65.5,0.2880077426430243,73.5,0.3836723382208787,73.5,0.3836723382208787,73.5,0.3836723382208787,8.0,0.0956645955778544
A0007,22.5490037129604,113.97225969676,2,65.5,0.2494631641131027,73.5,0.3384100490688083,73.5,0.3384100490688083,73.5,0.3384100490688083,8.0,0.0889468849557055
A0008,22.5627735077314,113.956573538052,2,65.5,0.2978263221935654,73.5,0.3949431863927579,73.5,0.3949431863927579,73.5,0.3949431863927579,8.0,0.0971168641991924
A0010,22.5437860995949,113.923977803989,2,66.0,0.2454086352456056,74.0,0.3335523407141734,74.0,0.3335523407141734,74.0,0.3335523407141734,8.0,0.0881437054685677
A0011,22.5248636906434,113.930859554515,2,65.5,0.3007494932448918,73.5,0.3982788959576605,73.5,0.3982788959576605,73.5,0.3982788959576605,8.0,0.0975294027127686
A0012,22.519087000679,113.935843611296,2,65.5,0.3283659996601527,73.5,0.4293521435202359,73.5,0.4293521435202359,73.5,0.4293521435202359,8.0,0.1009861438600832
A0013,22.5479724310799,113.977909038602,2,65.5,0.304648582193641,73.5,0.4027141998188525,73.5,0.4027141998188525,73.5,0.4027141998188525,8.0,0.0980656176252114
A0014,22.5061687130557,113.931428439716,2,66.0,0.3538946921450922,74.0,0.4573853165815318,74.0,0.4573853165815318,74.0,0.4573853165815318,8.0,0.1034906244364396
A0015,22.4996256609397,113.936514493699,2,66.0,0.3575588052362898,74.0,0.4613558205012728,74.0,0.4613558205012728,74.0,0.4613558205012728,8.0,0.103797015264983
A0016,22.540321415216,113.923645598933,2,66.0,0.2975421482041851,74.0,0.394618424697849,74.0,0.394618424697849,74.0,0.394618424697849,8.0,0.0970762764936639
A0017,22.5245541889304,113.92473190182,2,65.5,0.3172171268934915,73.5,0.4169028498264908,73.5,0.4169028498264908,73.5,0.4169028498264908,8.0,0.0996857229329992
