candidate_id,task_ids,region,task_count,core_tasks,ride_along_tasks,core_share,route_length_km,compactness,price_multiplier,average_reward,total_reward,bundle_probability,expected_completions,expected_payout,baseline_completions,baseline_expected_payout,completion_gain,payout_change
enhanced-00001,A0001;A0029,2,2,2,0,1.0,0.19930867363494806,0.8006913263650519,0.85,62.9,125.8,0.4829907188990102,0.9659814377980204,60.76023243749548,0.9344941675310969,69.15256839730117,0.03148727026692344,-8.392335959805685
enhanced-00002,A0001;A0029,2,2,2,0,1.0,0.19930867363494806,0.8006913263650519,0.9,66.60000000000001,133.20000000000002,0.5327818216765753,1.0655636433531506,70.96653864731984,0.9344941675310969,69.15256839730117,0.13106947582205364,1.81397025001867
enhanced-00003,A0001;A0029,2,2,2,0,1.0,0.19930867363494806,0.8006913263650519,0.95,70.3,140.6,0.5819284006134213,1.1638568012268427,81.81913312624704,0.9344941675310969,69.15256839730117,0.22936263369574572,12.666564728945872
enhanced-00004,A0001;A0029,2,2,2,0,1.0,0.19930867363494806,0.8006913263650519,1.0,74.0,148.0,0.6295003145657144,1.2590006291314289,93.16604655572573,0.9344941675310969,69.15256839730117,0.3245064616003319,24.01347815842456
enhanced-00005,A0001;A0029,2,2,2,0,1.0,0.19930867363494806,0.8006913263650519,1.05,77.7,155.4,0.6746851831557887,1.3493703663115775,104.84607746240957,0.9344941675310969,69.15256839730117,0.41487619878048054,35.6935090651084
enhanced-00006,A0001;A0029,2,2,2,0,1.0,0.19930867363494806,0.8006913263650519,1.1,81.4,162.8,0.7168382340413553,1.4336764680827105,116.70126450193264,0.9344941675310969,69.15256839730117,0.4991823005516136,47.548696104631475
enhanced-00007,A0001;A0029,2,2,2,0,1.0,0.19930867363494806,0.8006913263650519,1.15,85.1,170.2,0.7555085765143743,1.5110171530287486,128.5875597227465,0.9344941675310969,69.15256839730117,0.5765229854976517,59.43499132544534
enhanced-00008,A0001;A0029;A0362,2,3,2,1,0.6666666666666666,0.9613963163199789,0.5193018418400106,0.85,62.9,188.7,0.49263028152063715,1.4778908445619114,92.95933412294423,1.4414250893637899,106.66545661292045,0.03646575519812156,-13.706122489976224
enhanced-00009,A0001;A0029;A0362,2,3,2,1,0.6666666666666666,0.9613963163199789,0.5193018418400106,0.9,66.60000000000001,199.8,0.5423726338501964,1.6271179015505892,108.36605224326925,1.4414250893637899,106.66545661292045,0.18569281218679934,1.7005956303488006
enhanced-00010,A0001;A0029;A0362,2,3,2,1,0.6666666666666666,0.9613963163199789,0.5193018418400106,0.95,70.3,210.89999999999998,0.5912842859103304,1.7738528577309913,124.70185589848867,1.4414250893637899,106.66545661292045,0.33242776836720145,18.036399285568223
enhanced-00011,A0001;A0029;A0362,2,3,2,1,0.6666666666666666,0.9613963163199789,0.5193018418400106,1.0,74.0,222.0,0.6384530279320608,1.9153590837961825,141.7365722009175,1.4414250893637899,106.66545661292045,0.4739339944323926,35.07111558799704
enhanced-00012,A0001;A0029;A0362,2,3,2,1,0.6666666666666666,0.9613963163199789,0.5193018418400106,1.05,77.7,233.10000000000002,0.6830957116927484,2.049287135078245,159.22961039557967,1.4414250893637899,106.66545661292045,0.6078620457144552,52.56415378265922
enhanced-00013,A0001;A0029;A0362,2,3,2,1,0.6666666666666666,0.9613963163199789,0.5193018418400106,1.1,81.4,244.20000000000002,0.7246037998586226,2.1738113995758677,176.94824792547564,1.4414250893637899,106.66545661292045,0.7323863102120778,70.28279131255519
enhanced-00014,A0001;A0029;A0362,2,3,2,1,0.6666666666666666,0.9613963163199789,0.5193018418400106,1.15,85.1,255.29999999999998,0.7625648974402168,2.2876946923206507,194.68281831648736,1.4414250893637899,106.66545661292045,0.8462696029568608,88.0173617035669
enhanced-00015,A0002;A0364,2,2,2,0,1.0,0.5686927327006693,0.43130726729933067,0.85,62.262499999999996,124.52499999999999,0.25276937327853993,0.5055387465570799,31.476106207510185,0.5577271857685586,40.85512599048898,-0.052188439211478754,-9.379019782978794
