candidate_id,task_ids,region,task_count,route_length_km,compactness,price_multiplier,average_reward,total_reward,bundle_probability,expected_completions,expected_payout,baseline_completions,baseline_expected_payout,completion_gain,payout_change
candidate-00001,A0001;A0029,2,2,0.19946319903218218,0.8005368009678178,0.9,66.60000000000001,133.20000000000002,0.5327606657087367,1.0655213314174734,70.96372067240374,0.9344941675310969,69.15256839730117,0.13102716388637647,1.8111522751025717
candidate-00002,A0001;A0029,2,2,0.19946319903218218,0.8005368009678178,0.95,70.3,140.6,0.5819077236956344,1.1638154473912687,81.81622595160619,0.9344941675310969,69.15256839730117,0.2293212798601718,12.663657554305018
candidate-00003,A0001;A0029,2,2,0.19946319903218218,0.8005368009678178,1.0,74.0,148.0,0.6294804923986148,1.2589609847972296,93.163112874995,0.9344941675310969,69.15256839730117,0.3244668172661327,24.010544477693827
candidate-00004,A0001;A0029,2,2,0.19946319903218218,0.8005368009678178,1.05,77.7,155.4,0.6746665290677332,1.3493330581354663,104.84317861712574,0.9344941675310969,69.15256839730117,0.4148388906043694,35.69061021982458
candidate-00005,A0001;A0029,2,2,0.19946319903218218,0.8005368009678178,1.1,81.4,162.8,0.7168209825623099,1.4336419651246197,116.69845596114405,0.9344941675310969,69.15256839730117,0.4991477975935228,47.54588756384288
candidate-00006,A0002;A0364,2,2,0.5698554792166522,0.43014452078334775,0.9,65.925,131.85,0.2916926220713265,0.583385244142653,38.4596722201044,0.5577271857685586,40.85512599048898,0.025658058374094406,-2.3954537703845773
candidate-00007,A0002;A0364,2,2,0.5698554792166522,0.43014452078334775,0.95,69.58749999999999,139.17499999999998,0.33407328309657947,0.6681465661931589,46.49464917496644,0.5577271857685586,40.85512599048898,0.11041938042460031,5.639523184477461
candidate-00008,A0002;A0364,2,2,0.5698554792166522,0.43014452078334775,1.0,73.25,146.5,0.37931400575029306,0.7586280115005861,55.569501842417935,0.5577271857685586,40.85512599048898,0.2009008257320275,14.714375851928956
candidate-00009,A0002;A0364,2,2,0.5698554792166522,0.43014452078334775,1.05,76.91250000000001,153.82500000000002,0.42675512255293463,0.8535102451058693,65.64560672670518,0.5577271857685586,40.85512599048898,0.29578305933731064,24.790480736216203
candidate-00010,A0002;A0364,2,2,0.5698554792166522,0.43014452078334775,1.1,80.575,161.15,0.4755833601431525,0.951166720286305,76.64025848706903,0.5577271857685586,40.85512599048898,0.3934395345177464,35.785132496580054
candidate-00011,A0002;A0446,2,2,0.7774003223413861,0.22259967765861388,0.9,69.075,138.15,0.30562304661829925,0.6112460932365985,42.22182389031804,0.643984179942465,49.68519581340267,-0.03273808670586653,-7.46337192308463
candidate-00012,A0002;A0446,2,2,0.7774003223413861,0.22259967765861388,0.95,72.9125,145.825,0.3511759707297056,0.7023519414594112,51.21023593165931,0.643984179942465,49.68519581340267,0.058367761516946115,1.5250401182566407
candidate-00013,A0002;A0446,2,2,0.7774003223413861,0.22259967765861388,1.0,76.75,153.5,0.3996111223627818,0.7992222447255636,61.34030728268701,0.643984179942465,49.68519581340267,0.15523806478309854,11.655111469284336
