distance_m,2016-06-08,2016-10-20,2017-05-11,2017-09-05,2018-09-13,2019-04-13,2019-10-15,2020-03-19,2021-03-14
0.0,47.754999999999995,47.754999999999995,47.754999999999995,47.754999999999995,53.576,53.636,52.78,53.65,53.65
5.0,48.879999999999995,48.973749999999995,49.02673913043478,49.02673913043478,53.57266666666667,53.64749425287357,53.556000000000004,53.673529411764704,53.673529411764704
10.0,50.005,50.192499999999995,50.29847826086956,50.29847826086956,53.56933333333333,53.6438125,53.546,53.69705882352941,53.69705882352941
15.0,50.9075,51.41125,51.57021739130435,51.57021739130435,53.566,53.5969375,52.6525,53.720588235294116,53.720588235294116
20.0,50.92,51.60166666666667,52.84195652173913,52.84195652173913,52.106,53.00028571428572,50.43375,53.04,53.04
25.0,50.0835,51.535000000000004,53.607,53.607,49.806000000000004,51.33642016806723,49.97,51.41173913043478,51.41173913043478
30.0,48.681,51.468333333333334,53.611999999999995,53.611999999999995,47.58652631578948,49.67255462184874,50.0,49.783478260869565,49.783478260869565
35.0,47.278499999999994,51.40166666666667,53.037857142857135,53.037857142857135,46.939157894736844,48.00868907563026,46.725,48.15521739130435,48.15521739130435
40.0,45.876,51.335,51.595,51.595,46.29178947368421,46.34482352941177,45.99666666666667,46.52695652173913,46.52695652173913
45.0,45.317142857142855,49.982727272727274,50.15214285714285,50.15214285714285,45.64442105263158,45.61591810737034,45.905,45.52205128205128,45.52205128205128
50.0,45.32071428571428,48.63045454545455,48.70928571428571,48.70928571428571,45.25253465346535,45.564052775250225,45.81333333333333,45.452179487179485,45.452179487179485
55.0,45.324285714285715,47.27818181818182,47.26642857142857,47.26642857142857,45.24387128712871,45.51218744313012,45.721666666666664,45.38230769230769,45.38230769230769
60.0,45.32785714285714,45.92590909090909,45.82357142857143,45.82357142857143,45.23520792079208,45.46032211101001,45.63,45.3124358974359,45.3124358974359
65.0,45.33142857142857,45.40944444444444,45.5175,45.5175,45.226544554455444,45.4084567788899,45.538333333333334,45.2425641025641,45.2425641025641
70.0,45.335,45.450185185185184,45.495625,45.495625,45.21788118811881,45.35659144676979,45.446666666666665,45.17269230769231,45.17269230769231
75.0,45.33857142857143,45.49092592592592,45.473749999999995,45.473749999999995,45.20921782178218,45.30472611464968,45.355000000000004,45.102820512820514,45.102820512820514
80.0,45.34214285714285,45.531666666666666,45.57978260869565,45.57978260869565,45.20055445544555,45.252860782529574,45.263333333333335,45.03294871794872,45.03294871794872
85.0,45.42586956521739,45.572407407407404,45.771086956521735,45.771086956521735,45.191891089108914,45.200995450409465,45.17166666666667,44.96307692307692,44.96307692307692
90.0,45.830217391304345,45.69236842105263,45.962391304347825,45.962391304347825,45.18322772277228,45.14913011828936,45.08,44.893205128205125,44.893205128205125
