zone_id,radial_inner_m,radial_outer_m,azimuth_start_deg,azimuth_end_deg,direction,mirror_count,total_power_kw,avg_power_per_mirror_kw,avg_unit_area_power_kw_m2,field_power_share_pct,relative_to_field_avg_pct,is_low_power_zone
R4-S02,210.0,280.0,30.0,60.0,东北,81,1350.798627568425,16.676526266276852,0.4201694700498073,2.2361265061497213,87.45739224052244,True
R4-S05,210.0,280.0,120.0,150.0,西北,81,1358.2970474497463,16.769099351231436,0.422501873298852,2.2485394706794866,87.94287707546438,True
R4-S12,210.0,280.0,330.0,360.0,东,83,1489.6589321669421,17.947697977914967,0.45219697601196696,2.465997340652801,94.12385030347076,True
R5-S02,280.0,350.0,30.0,60.0,东北,105,1516.617116728577,14.443972540272162,0.36391969111292927,2.510624207919065,75.7491189589295,True
R5-S03,280.0,350.0,60.0,90.0,北,99,1662.9365627152843,16.797339017326102,0.423213379121343,2.752842984913969,88.090975517247,True
R5-S04,280.0,350.0,90.0,120.0,北,102,1721.9912980626855,16.882267628065545,0.42535317782981974,2.850602825891666,88.53637012181176,True
R5-S05,280.0,350.0,120.0,150.0,西北,105,1525.1602628158812,14.525335836341725,0.3659696607795849,2.5247666233922867,76.17581583720727,True
R5-S07,280.0,350.0,180.0,210.0,西,105,1569.3552944282953,14.946240899317099,0.3765744746615545,2.5979275517584495,78.38318556162636,True
R5-S09,280.0,350.0,240.0,270.0,南,103,1650.1311241444762,16.020690525674524,0.40364551589001074,2.731644724842739,84.01796590584269,True
R5-S10,280.0,350.0,270.0,300.0,南,106,1700.9965214469669,16.047136994782708,0.4043118416422955,2.815847847967525,84.15666021095397,True
R5-S12,280.0,350.0,330.0,360.0,东,105,1555.3580341969412,14.812933659018487,0.3732157636437009,2.5747563373538647,77.68407692130518,True
