mirror_id,x_m,y_m,annual_avg_power_kw,annual_unit_area_power_kw_m2,zone_id
1,-51.075,-345.05226165564795,16.475399287673245,0.4151020228690664,R5-S09
2,-39.72500000000001,-345.05226165564795,16.770137092772522,0.4225280194702072,R5-S09
3,-28.375000000000004,-345.05226165564795,16.99854884885393,0.428282913803324,R5-S09
4,-17.025000000000002,-345.05226165564795,17.186753782277684,0.4330247866535068,R5-S09
5,-5.675000000000001,-345.05226165564795,17.298913877259594,0.43585068977726366,R5-S09
6,5.675000000000001,-345.05226165564795,17.319104653191353,0.4363594016929038,R5-S10
7,17.025000000000002,-345.05226165564795,17.21329672080938,0.4336935429783165,R5-S10
8,28.375000000000004,-345.05226165564795,16.999797331021494,0.4283143696402493,R5-S10
9,39.72500000000001,-345.05226165564795,16.749883358573722,0.4220177213044526,R5-S10
10,51.075,-345.05226165564795,16.414544829326008,0.4135687787686069,R5-S10
11,-90.80000000000001,-335.22287332269457,14.462880716408991,0.36439608758903985,R5-S09
12,-79.45000000000002,-335.22287332269457,15.1214098673589,0.3809879029316931,R5-S09
13,-68.10000000000001,-335.22287332269457,15.748367887593673,0.3967842753235998,R5-S09
14,-56.75000000000001,-335.22287332269457,16.335555544945766,0.4115786229515184,R5-S09
15,-45.400000000000006,-335.22287332269457,16.828828963269494,0.4240067766003904,R5-S09
16,-34.050000000000004,-335.22287332269457,17.12634651159635,0.43150280956403,R5-S09
17,-22.700000000000003,-335.22287332269457,17.358864315340426,0.43736115684909116,R5-S09
18,-11.350000000000001,-335.22287332269457,17.487313775690584,0.4405974748221362,R5-S09
19,0.0,-335.22287332269457,17.537409641146045,0.44185965334205207,R5-S10
20,11.350000000000001,-335.22287332269457,17.513087484463,0.4412468502006299,R5-S10
21,22.700000000000003,-335.22287332269457,17.327720125703785,0.43657647079122663,R5-S10
22,34.050000000000004,-335.22287332269457,17.07626813498794,0.43024107168022024,R5-S10
23,45.400000000000006,-335.22287332269457,16.77451675046594,0.4226383660989151,R5-S10
24,56.75000000000001,-335.22287332269457,16.32569266985565,0.4113301252168216,R5-S10
25,68.10000000000001,-335.22287332269457,15.748862970763264,0.3967967490744083,R5-S10
26,79.45000000000002,-335.22287332269457,15.13460938831937,0.3813204683376007,R5-S10
27,90.80000000000001,-335.22287332269457,14.51963082238266,0.3658259214508103,R5-S10
28,-119.17500000000003,-325.39348498974124,13.373727211231868,0.3369545782623298,R5-S09
29,-107.82500000000002,-325.39348498974124,13.809076742326413,0.3479233243216531,R5-S09
30,-96.47500000000001,-325.39348498974124,14.282109900299886,0.35984151928193214,R5-S09
31,-85.12500000000001,-325.39348498974124,14.90261360286182,0.375475273440711,R5-S09
32,-73.77500000000002,-325.39348498974124,15.567340500616146,0.39222324264590946,R5-S09
33,-62.42500000000001,-325.39348498974124,16.164100426803145,0.4072587661074111,R5-S09
34,-51.075,-325.39348498974124,16.736133335837632,0.42167128586136643,R5-S09
35,-39.72500000000001,-325.39348498974124,17.153677612465597,0.43219142384644993,R5-S09
36,-28.375000000000004,-325.39348498974124,17.436542626709585,0.4393182823559986,R5-S09
37,-17.025000000000002,-325.39348498974124,17.63419139366886,0.44429809507858053,R5-S09
38,-5.675000000000001,-325.39348498974124,17.744304229413583,0.44707241696683253,R5-S09
39,5.675000000000001,-325.39348498974124,17.775910311063154,0.44786874051557457,R5-S10
40,17.025000000000002,-325.39348498974124,17.62440275311816,0.4440514677026496,R5-S10
41,28.375000000000004,-325.39348498974124,17.397835307541722,0.4383430412582949,R5-S10
42,39.72500000000001,-325.39348498974124,17.094215747727883,0.43069326650863904,R5-S10
43,51.075,-325.39348498974124,16.719577607952687,0.4212541599383393,R5-S10
44,62.42500000000001,-325.39348498974124,16.158146656264627,0.4071087592911219,R5-S10
45,73.775,-325.39348498974124,15.571289894663954,0.3923227486687819,R5-S10
46,85.12500000000001,-325.39348498974124,14.965880819033273,0.3770693076098079,R5-S10
47,96.47500000000001,-325.39348498974124,14.367643463134359,0.36199655991772134,R5-S10
48,107.825,-325.39348498974124,13.83487544487844,0.3485733294250048,R5-S10
49,119.17500000000001,-325.39348498974124,13.378181738720054,0.3370668112552294,R5-S10
50,-147.55,-315.56409665678785,13.669164524993285,0.34439819916838715,R5-S09
