zone_id,radial_inner_m,radial_outer_m,azimuth_start_deg,azimuth_end_deg,direction,mirror_count,total_power_kw,avg_power_per_mirror_kw,avg_unit_area_power_kw_m2,field_power_share_pct,relative_to_field_avg_pct,is_low_power_zone
R1-S01,0.0,70.0,0.0,30.0,东,2,47.04785669843858,23.52392834921929,0.5926915683854697,0.07788352554835791,123.36750446859894,False
R1-S02,0.0,70.0,30.0,60.0,东北,7,168.63668824548208,24.090955463640295,0.6069779658261601,0.2791629786993753,126.34118807423155,False
R1-S03,0.0,70.0,60.0,90.0,北,6,148.47214482614763,24.745357471024604,0.6234657967000404,0.24578237769480654,129.77309542285784,False
R1-S04,0.0,70.0,90.0,120.0,北,7,173.34916100694207,24.764165858134582,0.6239396789653461,0.2869640565479501,129.871733020558,False
R1-S05,0.0,70.0,120.0,150.0,西北,7,168.77062872348137,24.110089817640194,0.6074600609130812,0.27938470520026737,126.44153515349245,False
R1-S06,0.0,70.0,150.0,180.0,西,2,47.110678832411665,23.555339416205832,0.5934829784884312,0.07798752198134436,123.53223481844947,False
R1-S07,0.0,70.0,180.0,210.0,西,0,0.0,nan,nan,0.0,nan,False
R1-S08,0.0,70.0,210.0,240.0,西南,0,0.0,nan,nan,0.0,nan,False
R1-S09,0.0,70.0,240.0,270.0,南,0,0.0,nan,nan,0.0,nan,False
R1-S10,0.0,70.0,270.0,300.0,南,0,0.0,nan,nan,0.0,nan,False
R1-S11,0.0,70.0,300.0,330.0,东南,0,0.0,nan,nan,0.0,nan,False
R1-S12,0.0,70.0,330.0,360.0,东,0,0.0,nan,nan,0.0,nan,False
R2-S01,70.0,140.0,0.0,30.0,东,34,817.175910301156,24.034585597092825,0.6055577121968462,1.3527617484338015,126.04556526583187,False
R2-S02,70.0,140.0,30.0,60.0,东北,36,877.9402092307295,24.38722803418693,0.6144426312468363,1.4533516192634872,127.89494249518685,False
R2-S03,70.0,140.0,60.0,90.0,北,29,735.2391651693049,25.353074661010513,0.6387773913078991,1.217122783544725,132.96017166447203,False
R2-S04,70.0,140.0,90.0,120.0,北,33,838.1980191612807,25.399939974584264,0.6399581752225817,1.3875619724478792,133.2059493549964,False
R2-S05,70.0,140.0,120.0,150.0,西北,36,880.0650106433055,24.446250295647374,0.6159297126643329,1.4568690382643625,128.20447536726388,False
R2-S06,70.0,140.0,150.0,180.0,西,34,821.7406186245247,24.168841724250726,0.6089403306689526,1.360318215449985,126.74965019251626,False
R2-S07,70.0,140.0,180.0,210.0,西,25,565.0335093869548,22.601340375478195,0.5694467214784126,0.9353625191916068,118.52913843196042,False
R2-S08,70.0,140.0,210.0,240.0,西南,6,125.14779739280758,20.857966232134597,0.5255219509230183,0.2071710033049588,109.38628974501826,False
R2-S09,70.0,140.0,240.0,270.0,南,0,0.0,nan,nan,0.0,nan,False
R2-S10,70.0,140.0,270.0,300.0,南,0,0.0,nan,nan,0.0,nan,False
R2-S11,70.0,140.0,300.0,330.0,东南,6,125.31446848429651,20.885744747382752,0.5262218379285148,0.20744691241374894,109.53196975445944,False
R2-S12,70.0,140.0,330.0,360.0,东,25,564.2004452546108,22.568017810184433,0.5686071506723214,0.933983455910346,118.35438353295906,False
R3-S01,140.0,210.0,0.0,30.0,东,56,1325.122621163543,23.662903949348983,0.5961930952216927,2.19362217032775,124.09633992139842,False
