design_id,tower_y_m,width_m,height_m,clearance_m,mirror_count,total_area_m2,avg_optical_efficiency,avg_cosine_efficiency,avg_shadow_blocking_efficiency,avg_truncation_efficiency,field_power_mw,unit_area_power_kw_m2
1,-100.0,5.4,5.4,0.0,3283,95732.28000000001,0.5411450163286193,0.799325874166315,0.8115290892476393,0.9632288473011518,49.63264527262795,0.5184525561558541
2,-100.0,5.8,5.8,0.0,3053,102702.92,0.5194351696912063,0.7992560098109389,0.7928420815591223,0.9495286527201857,51.093558673222596,0.49748886081547233
3,-100.0,6.2,6.2,0.0,2838,109092.72000000002,0.5013683586316067,0.7991626642310107,0.7776272903453135,0.9364124867934768,52.42012451571454,0.48050983159751204
4,-100.0,6.6,6.6,0.0,2649,115390.43999999999,0.48810379540474874,0.7989279270801534,0.7625872970932427,0.9282473793421321,53.98263307158221,0.46782587077042276
5,-100.0,7.0,7.0,0.0,2471,121079.0,0.46756091898379487,0.7990172762129483,0.7468088155942264,0.915319738230503,54.294317630421006,0.4484205983731366
6,-100.0,7.4,7.4,0.0,2318,126933.68000000001,0.4351874555233583,0.798579814803838,0.7329122627264882,0.8718090021018191,52.93838787629627,0.41705548815961424
7,-100.0,7.8,7.8,0.0,2174,132266.16,0.4282941999824679,0.7989616130380982,0.7186445875498313,0.8741913737860151,54.21957504601202,0.40992779291401543
8,-140.0,5.4,5.4,0.0,3284,95761.44000000002,0.5346982905692205,0.8172357132247131,0.8002547071660578,0.9404569246701556,49.03342331640085,0.5120372387508046
9,-140.0,5.8,5.8,0.0,3050,102602.0,0.5181381682290133,0.8170645822410866,0.7750597677595629,0.9438747935049165,50.92177257809723,0.4963038983460093
10,-140.0,6.2,6.2,0.0,2833,108900.52000000002,0.47432637414093753,0.8169990130690161,0.7541861542534417,0.8887424026421997,49.46119799862122,0.4541869772396055
11,-140.0,6.6,6.6,0.0,2642,115085.51999999999,0.47777519084921066,0.8170597089315167,0.7379865316679283,0.9196375470528574,52.67614282791961,0.4577130366002571
12,-140.0,7.0,7.0,0.0,2475,121275.0,0.4532118491720385,0.8167023400313983,0.7337542087542088,0.8791203603261685,52.63805603768583,0.4340388046809798
13,-140.0,7.4,7.4,0.0,2312,126605.12000000001,0.4220545758264607,0.8169684049861946,0.7109014561707037,0.8403992269584831,51.25362466040327,0.4048305839479736
14,-140.0,7.8,7.8,0.0,2175,132327.0,0.40135651430793345,0.8166893342045588,0.6963074712643679,0.8159430487031062,50.9164354315814,0.38477737295927067
15,-140.0,6.0,6.0,1.5,2277,81972.0,0.5473790788843951,0.8173907315194109,0.8321942248572683,0.9254337463700112,42.88135793693808,0.5231220165048805
16,-140.0,7.0,7.0,1.5,1950,95550.0,0.46687736266083907,0.8163579447508047,0.7847489316239317,0.8429665335258284,42.70498203950459,0.4469385875406029
17,-140.0,8.0,8.0,1.5,1688,108032.0,0.46649301852987546,0.8165259781006043,0.7587782632306478,0.8795751935580878,48.226830950203,0.4464124606616835
