distance_m,mean_signed_change_m,mean_abs_change_m,erosion_year_count,deposition_year_count,is_cross_year_hotspot
1680.0,0.15868157642062997,0.49922343528283974,1,2,True
1685.0,0.1717726808600671,0.4026001392641412,1,2,True
1690.0,0.15280225921470367,0.30308587993098374,1,2,False
1695.0,0.025562337154863002,0.17472793088238467,1,2,False
1700.0,-0.019447786997848954,0.1594570708816884,1,2,False
1705.0,-0.016793876530302992,0.1567231897646503,1,2,False
1710.0,-0.014725180132492946,0.15364543304966935,1,2,False
1715.0,-0.009874250062299694,0.15353016605876135,1,2,False
1720.0,-0.010274495978119802,0.15117222590341703,1,2,False
1725.0,-0.01864493641295321,0.1402618809502473,1,2,False
1730.0,-0.027909642159184973,0.12988058493141827,1,2,False
1735.0,-0.029172620812477845,0.13091346314477312,1,2,False
1740.0,-0.019839413294047148,0.15067232401687747,1,2,False
1745.0,-0.003987845078971948,0.17513364778716797,1,2,False
1750.0,0.012250825832024267,0.1994875173203899,1,2,False
1755.0,0.026006215389578813,0.22203628285707092,1,2,False
1760.0,0.02398684637453267,0.23372809720143195,1,2,False
1765.0,0.00933028757582477,0.23733637909083546,1,2,False
1770.0,-0.011270584618367016,0.23621800117071837,1,2,False
1775.0,-0.03461476909007999,0.25205189757658647,1,2,False
1780.0,-0.01908260762922372,0.26698384219712185,1,2,False
1785.0,0.005756190368796155,0.2828972161241137,1,2,False
1790.0,0.03229838024606598,0.29882187581245984,1,2,False
1795.0,0.051267641782433294,0.3101109590406092,1,2,False
1800.0,0.06558771419330256,0.3140617294890629,1,2,False
1805.0,0.07722180678555308,0.3178406836884484,1,2,False
1810.0,0.08502384058440408,0.3283094927489181,1,2,False
1815.0,0.08615464119165732,0.34719556259845064,1,2,False
1820.0,0.08587859883533966,0.36543653823502237,1,2,False
1825.0,0.08602745232045923,0.3828869785332749,1,2,False
1830.0,0.0897325845681074,0.3984016984411139,1,2,True
1835.0,0.09640745724447915,0.4148448777618299,1,2,True
1840.0,0.10300111155194121,0.4316940578081123,1,2,True
1845.0,0.10273111684602772,0.44301954718039366,1,2,True
1850.0,0.07459714615797235,0.42611574727930684,1,2,True
1855.0,0.044034449067675986,0.4029926471832681,1,2,True
1860.0,0.030941154594631353,0.3872419979005339,1,2,False
1865.0,0.04622492023172242,0.39408104565668367,1,2,True
1870.0,0.06418090776796603,0.40343285375525656,1,2,True
1875.0,0.06667623971493224,0.4015064619371553,1,2,True
1880.0,0.03816129914529872,0.3851720341880333,1,2,False
1885.0,0.002024659639677869,0.36625522374224556,1,2,False
1890.0,-0.03178613668921315,0.34571227857453596,1,2,False
1895.0,-0.0721916830501345,0.3146550599352776,1,2,False
1900.0,-0.10924217645192276,0.2859549144571704,1,2,False
1905.0,-0.125553310886648,0.2722199775533092,1,2,False
1910.0,-0.13110886644220207,0.26444219977553257,2,1,False
1915.0,-0.13632772166105886,0.26966105499438936,2,1,False
1920.0,-0.13883950617284432,0.29192592592592703,2,1,False
1925.0,-0.1348273413387382,0.31507425491898405,2,1,False
1930.0,-0.13085677083333755,0.33085677083333564,2,1,False
1935.0,-0.12737449923194077,0.33825015027360433,1,2,False
1940.0,-0.13024431636990266,0.3315984830365662,1,2,False
1945.0,-0.1386784694805646,0.3386784694805627,2,1,False
1950.0,-0.15958709444486155,0.3316085788198606,2,1,False
1955.0,-0.19569823280804974,0.2956982328080464,2,1,False
1960.0,-0.2297079096222845,0.2576864252472788,2,1,False
1965.0,-0.24049998938163597,0.24049998938163597,3,0,False
1970.0,-0.2263952790235706,0.2263952790235706,3,0,False
1975.0,-0.19891492528221497,0.19891492528221497,3,0,False
1980.0,-0.1631049447796554,0.16752858274695015,2,1,False
1985.0,-0.13538684776570994,0.1739376314009616,2,1,False
1990.0,-0.10642833373225476,0.18979219830922153,2,1,False
1995.0,-0.08829165633057438,0.23573178116942847,1,2,False
2000.0,-0.07936972137223226,0.30358792993625033,1,2,False
2005.0,-0.07015258713775907,0.38072365396592406,1,2,False
2010.0,-0.05919321444929082,0.4685776538857655,1,2,True
2015.0,-0.02893052186488158,0.5593138413946287,1,2,True
2020.0,0.026854899718717462,0.6553073858768043,1,2,True
2025.0,0.0847635260296246,0.7003980179095244,1,2,True
2030.0,0.12353119166026379,0.7107233858393123,1,2,True
2035.0,0.04370060901618326,0.6407845525947439,1,2,True
2040.0,-0.060454949260125325,0.4783840259182253,1,2,True
2045.0,-0.12283937158695342,0.2801521213897118,2,1,False
2050.0,-0.16166230654493793,0.19019723432192612,2,1,False
2055.0,-0.18185067675913302,0.18185067675913302,3,0,False
2060.0,-0.1491185356518218,0.21595898386374893,2,1,False
2065.0,0.028714740688281875,0.29532703752010053,1,2,False
2070.0,0.19608567041898675,0.4245307500224307,1,2,True
2075.0,0.35690642600634465,0.6163603126020499,2,1,True
