window,year,pre_date,post_date,distance_m,pre_bed_elevation_m,post_bed_elevation_m,elevation_change_m,is_top_quartile_change
april_to_late_july,2020,2020-04-17,2020-07-29,1695.0,42.80451776289393,41.90185358572495,-0.9026641771689796,True
april_to_late_july,2020,2020-04-17,2020-07-29,1700.0,41.98872438627189,41.84385779225185,-0.1448665940200371,False
april_to_late_july,2020,2020-04-17,2020-07-29,1705.0,41.38071048093036,41.81631182576837,0.4356013448380125,False
april_to_late_july,2020,2020-04-17,2020-07-29,1710.0,41.11,41.7952961530633,0.6852961530632982,True
april_to_late_july,2020,2020-04-17,2020-07-29,1715.0,41.069631756343874,41.768235294117645,0.6986035377737707,True
april_to_late_july,2020,2020-04-17,2020-07-29,1720.0,41.04833123846571,41.73882352941177,0.6904922909460609,True
april_to_late_july,2020,2020-04-17,2020-07-29,1725.0,41.019152412957254,41.709411764705884,0.6902593517486295,True
april_to_late_july,2020,2020-04-17,2020-07-29,1730.0,40.92726675923104,41.68,0.7527332407689613,True
april_to_late_july,2020,2020-04-17,2020-07-29,1735.0,40.768914111551354,41.64448198656625,0.8755678750148945,True
april_to_late_july,2020,2020-04-17,2020-07-29,1740.0,40.66384196778307,41.606928556889876,0.9430865891068052,True
april_to_late_july,2020,2020-04-17,2020-07-29,1745.0,40.66,41.58260533279056,0.9226053327905603,True
april_to_late_july,2020,2020-04-17,2020-07-29,1750.0,40.66,41.58,0.9200000000000017,True
april_to_late_july,2020,2020-04-17,2020-07-29,1755.0,40.66,41.58,0.9200000000000017,True
april_to_late_july,2020,2020-04-17,2020-07-29,1760.0,40.70219259259259,41.58,0.8778074074074098,True
april_to_late_july,2020,2020-04-17,2020-07-29,1765.0,40.825599999999994,41.58,0.754400000000004,True
april_to_late_july,2020,2020-04-17,2020-07-29,1770.0,40.944562962962955,41.58,0.6354370370370432,True
april_to_late_july,2020,2020-04-17,2020-07-29,1775.0,41.011081481481476,41.58,0.5689185185185224,True
april_to_late_july,2020,2020-04-17,2020-07-29,1780.0,41.0656,41.58,0.5143999999999949,False
april_to_late_july,2020,2020-04-17,2020-07-29,1785.0,41.10456296296296,41.58,0.47543703703703954,False
april_to_late_july,2020,2020-04-17,2020-07-29,1790.0,41.126918518518515,41.58,0.4530814814814832,False
april_to_late_july,2020,2020-04-17,2020-07-29,1795.0,41.1424,41.58,0.4375999999999962,False
april_to_late_july,2020,2020-04-17,2020-07-29,1800.0,41.15677037037037,41.575703125,0.41893275462962976,False
april_to_late_july,2020,2020-04-17,2020-07-29,1805.0,41.17333333333333,41.539326171875,0.36599283854166487,False
april_to_late_july,2020,2020-04-17,2020-07-29,1810.0,41.19,41.495625,0.30562499999999915,False
april_to_late_july,2020,2020-04-17,2020-07-29,1815.0,41.20666666666666,41.48,0.27333333333333343,False
april_to_late_july,2020,2020-04-17,2020-07-29,1820.0,41.22594074074074,41.48,0.25405925925925743,False
april_to_late_july,2020,2020-04-17,2020-07-29,1825.0,41.24719999999999,41.48,0.23280000000000456,False
april_to_late_july,2020,2020-04-17,2020-07-29,1830.0,41.25957037037037,41.48,0.22042962962962775,False
april_to_late_july,2020,2020-04-17,2020-07-29,1835.0,41.26,41.461481481481485,0.20148148148148692,False
april_to_late_july,2020,2020-04-17,2020-07-29,1840.0,41.26,41.42074074074074,0.16074074074074218,False
april_to_late_july,2020,2020-04-17,2020-07-29,1845.0,41.26,41.38,0.12000000000000455,False
april_to_late_july,2020,2020-04-17,2020-07-29,1850.0,41.26,41.34666666666667,0.08666666666667311,False
april_to_late_july,2020,2020-04-17,2020-07-29,1855.0,41.26,41.31333333333334,0.05333333333334167,False
april_to_late_july,2020,2020-04-17,2020-07-29,1860.0,41.26,41.28,0.020000000000003126,False
april_to_late_july,2020,2020-04-17,2020-07-29,1865.0,41.26,41.23925925925926,-0.02074074074073451,False
april_to_late_july,2020,2020-04-17,2020-07-29,1870.0,41.26,41.19851851851852,-0.06148148148147925,False
april_to_late_july,2020,2020-04-17,2020-07-29,1875.0,41.26,41.18,-0.0799999999999983,False
april_to_late_july,2020,2020-04-17,2020-07-29,1880.0,41.2547061728395,41.18,-0.07470617283949821,False
april_to_late_july,2020,2020-04-17,2020-07-29,1885.0,41.2372,41.18,-0.057200000000001694,False
april_to_late_july,2020,2020-04-17,2020-07-29,1890.0,41.21450864197531,41.18,-0.03450864197530734,False
april_to_late_july,2020,2020-04-17,2020-07-29,1895.0,41.18637530864197,41.16148148148148,-0.024893827160489934,False
april_to_late_july,2020,2020-04-17,2020-07-29,1900.0,41.148399999999995,41.12074074074074,-0.027659259259252167,False
april_to_late_july,2020,2020-04-17,2020-07-29,1905.0,41.114869135802465,41.08,-0.034869135802466644,False
april_to_late_july,2020,2020-04-17,2020-07-29,1910.0,41.09514567901235,41.03925925925926,-0.055886419753086614,False
april_to_late_july,2020,2020-04-17,2020-07-29,1915.0,41.0808,40.998518518518516,-0.08228148148148762,False
april_to_late_july,2020,2020-04-17,2020-07-29,1920.0,41.06423209876542,40.98,-0.08423209876542614,False
april_to_late_july,2020,2020-04-17,2020-07-29,1925.0,41.032898765432094,40.98,-0.05289876543209715,False
april_to_late_july,2020,2020-04-17,2020-07-29,1930.0,40.9888,40.98,-0.008800000000000807,False
april_to_late_july,2020,2020-04-17,2020-07-29,1935.0,40.96099753086419,40.98,0.019002469135806166,False
april_to_late_july,2020,2020-04-17,2020-07-29,1940.0,40.959999999999994,40.9690625,0.009062500000005969,False
april_to_late_july,2020,2020-04-17,2020-07-29,1945.0,40.959999999999994,40.9345166015625,-0.02548339843749403,False
april_to_late_july,2020,2020-04-17,2020-07-29,1950.0,40.959999999999994,40.8938671875,-0.06613281249999403,False
april_to_late_july,2020,2020-04-17,2020-07-29,1955.0,40.952675781249994,40.86116428914862,-0.09151149210137532,False
april_to_late_july,2020,2020-04-17,2020-07-29,1960.0,40.91833333333333,40.82962492345377,-0.0887084098795583,False
april_to_late_july,2020,2020-04-17,2020-07-29,1965.0,40.877480468749994,40.79837858631067,-0.07910188243932481,False
april_to_late_july,2020,2020-04-17,2020-07-29,1970.0,40.85147135416666,40.766733598165956,-0.0847377560007061,False
april_to_late_july,2020,2020-04-17,2020-07-29,1975.0,40.8304345703125,40.72841374016895,-0.10202083014354457,False
april_to_late_july,2020,2020-04-17,2020-07-29,1980.0,40.81468749999999,40.6945698036216,-0.12011769637839365,False
april_to_late_july,2020,2020-04-17,2020-07-29,1985.0,40.81087890625,40.68,-0.13087890624999687,False
april_to_late_july,2020,2020-04-17,2020-07-29,1990.0,40.83578125,40.69272135151638,-0.14305989848361378,False
april_to_late_july,2020,2020-04-17,2020-07-29,1995.0,40.87695963541666,40.7241006852568,-0.15285895015986029,False
april_to_late_july,2020,2020-04-17,2020-07-29,2000.0,40.91,40.763960920008145,-0.1460390799918514,False
april_to_late_july,2020,2020-04-17,2020-07-29,2005.0,40.9269677734375,40.804051218474186,-0.12291655496331089,False
april_to_late_july,2020,2020-04-17,2020-07-29,2010.0,40.9402734375,40.85040319745388,-0.08987024004611754,False
april_to_late_july,2020,2020-04-17,2020-07-29,2015.0,40.9560205078125,40.912606751413996,-0.043413756398500425,False
april_to_late_july,2020,2020-04-17,2020-07-29,2020.0,40.97811011444478,41.00466898105535,0.026558866610571386,False
april_to_late_july,2020,2020-04-17,2020-07-29,2025.0,41.00615721296976,41.25188946105101,0.2457322480812465,False
april_to_late_july,2020,2020-04-17,2020-07-29,2030.0,41.042547733658104,41.58746055171923,0.5449128180611282,False
april_to_late_july,2020,2020-04-17,2020-07-29,2035.0,41.09023171070219,41.850324961434396,0.7600932507322042,True
april_to_late_july,2020,2020-04-17,2020-07-29,2040.0,41.157083262285035,41.95816051778237,0.8010772554973329,True
april_to_late_july,2020,2020-04-17,2020-07-29,2045.0,41.253838056362135,42.02074754102245,0.7669094846603173,True
april_to_late_july,2020,2020-04-17,2020-07-29,2050.0,41.39644558169288,42.08143755914848,0.6849919774556028,True
