design_id,tower_x_m,tower_y_m,width_m,height_m,center_z_m,ground_clearance_m,spacing_clearance_m,rotation_deg,offset_u,offset_v,mirror_count,minimum_center_distance_m,required_problem_distance_m,configured_safe_distance_m,spacing_constraint_satisfied,maximum_site_radius_m,site_constraint_satisfied,minimum_tower_distance_m,tower_exclusion_satisfied,proxy_avg_optical_efficiency,proxy_avg_cosine_efficiency,proxy_avg_shadow_blocking_efficiency,proxy_avg_truncation_efficiency,proxy_field_power_mw,proxy_unit_area_power_kw_m2,proxy_total_area_m2,proxy_mirror_count
d001,0.0,-60.0,6.2,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3209,11.249999999999988,11.2,11.25,True,349.9711979826114,True,101.24999999999999,True,0.5728872395837853,0.779534609187345,0.9548028070198643,0.8699074584973563,60.38918007632565,0.4895601249957897,123353.96000000002,3209.0
d002,0.0,-60.0,6.3,6.3,3.4,0.25,0.05,0.0,0.0,0.0,3168,11.349999999999934,11.3,11.350000000000001,True,349.99298507216747,True,100.88100663653194,True,0.5620846038585081,0.7791930476682336,0.9541545836090238,0.8543935885241076,60.398518170579564,0.48035245191410486,125737.92,3168.0
d003,0.0,-60.0,6.4,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3120,11.449999999999957,11.4,11.450000000000001,True,349.86648273190553,True,101.76982607826348,True,0.5580138507424973,0.7787217505587298,0.9549557470295754,0.8480139286477293,59.03608088653714,0.4768604031493707,123801.60000000002,3120.0
d004,-20.0,-60.0,6.2,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3217,11.249999999999988,11.2,11.25,True,349.91396149780866,True,101.24999999999999,True,0.5719893819207168,0.7789922409513474,0.9547925438773108,0.8691015380998914,60.445703861008774,0.4887997771093211,123661.48000000001,3217.0
d005,-20.0,-60.0,6.3,6.3,3.4,0.25,0.05,0.0,0.0,0.0,3167,11.349999999999934,11.3,11.350000000000001,True,349.9397335268837,True,100.88100663653194,True,0.5614823985611913,0.7788873654208421,0.9541466144378562,0.8537802763794496,60.315289919001394,0.47984199872187056,125698.23,3167.0
d006,-20.0,-60.0,6.4,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3109,11.449999999999932,11.4,11.450000000000001,True,349.9502713289525,True,101.76982607826348,True,0.5579576976715817,0.7790272218143988,0.9549509223466524,0.8475935757299929,58.82112063986084,0.4768051183337788,123365.12000000002,3109.0
d007,20.0,-60.0,6.2,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3217,11.249999999999988,11.2,11.25,True,349.91396149780866,True,101.24999999999999,True,0.5719893819207167,0.7789922409513474,0.9547925438773108,0.8691015380998914,60.445703861008774,0.4887997771093211,123661.48000000001,3217.0
d008,20.0,-60.0,6.3,6.3,3.4,0.25,0.05,0.0,0.0,0.0,3167,11.349999999999934,11.3,11.350000000000001,True,349.93973352688363,True,100.88100663653194,True,0.5614823985611914,0.7788873654208419,0.9541466144378562,0.8537802763794496,60.3152899190014,0.4798419987218706,125698.23,3167.0
d009,20.0,-60.0,6.4,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3109,11.449999999999957,11.4,11.450000000000001,True,349.9502713289525,True,101.76982607826348,True,0.5579576976715817,0.7790272218143988,0.9549509223466528,0.8475935757299928,58.82112063986085,0.4768051183337789,123365.12000000002,3109.0
d010,0.0,-40.0,6.2,6.2,3.4,0.2999999999999998,0.05,0.0,0.0,0.0,3205,11.249999999999988,11.2,11.25,True,349.97827297416364,True,101.25,True,0.568756984455191,0.769137694173154,0.9548500240615948,0.8737266528080865,59.90681127728068,0.48625579566657096,123200.20000000001,3205.0
