heliostat_id,x_m,y_m
1,-198.625,284.02859165336827
2,198.62500000000003,284.02859165336827
3,204.3,274.1992033204149
4,-204.3,274.1992033204149
5,-215.65000000000003,274.1992033204149
6,-192.95000000000002,274.1992033204149
7,215.65000000000003,274.1992033204149
8,192.95000000000002,274.1992033204149
9,198.62500000000003,264.3698149874615
10,-198.625,264.3698149874615
11,-209.97500000000002,264.3698149874615
12,209.97500000000002,264.3698149874615
13,-187.275,284.02859165336827
14,187.27500000000003,284.02859165336827
15,-187.275,264.3698149874615
16,-221.32500000000002,264.3698149874615
17,192.95000000000002,254.5404266545081
18,-192.95000000000002,254.5404266545081
19,187.27500000000003,264.3698149874615
20,-204.3,254.5404266545081
21,204.3,254.5404266545081
22,181.60000000000002,274.1992033204149
23,181.60000000000002,254.5404266545081
24,-181.60000000000002,274.1992033204149
25,221.32500000000005,264.3698149874615
26,-215.65000000000003,254.5404266545081
27,-181.60000000000002,254.5404266545081
28,181.60000000000002,293.85797998632165
29,-340.50000000000006,-79.65877666590676
30,-187.275,244.71103832155472
31,340.50000000000006,-79.65877666590676
32,-181.60000000000002,293.85797998632165
33,187.27500000000003,244.71103832155472
34,-198.625,244.71103832155472
35,175.92500000000004,264.3698149874615
36,198.62500000000003,244.71103832155472
37,-175.925,264.3698149874615
38,215.65000000000003,254.5404266545081
39,-334.82500000000005,-69.82938833295339
40,-209.97500000000002,244.71103832155472
41,-227.00000000000003,254.5404266545081
42,334.82500000000005,-89.48816499886013
43,175.92500000000004,244.71103832155472
44,175.92500000000004,284.02859165336827
45,329.15000000000003,-79.65877666590676
46,334.82500000000005,-69.82938833295339
47,-329.15000000000003,-79.65877666590676
48,-334.82500000000005,-89.48816499886013
49,-175.925,284.02859165336827
50,-175.925,244.71103832155472
51,181.60000000000002,234.88164998860134
52,-181.60000000000002,234.88164998860134
53,-340.50000000000006,-60.0
54,209.97500000000002,244.71103832155472
55,-192.95000000000002,234.88164998860134
56,170.25000000000003,254.5404266545081
57,192.95000000000002,234.88164998860134
58,-170.25000000000003,254.5404266545081
59,170.25000000000003,274.1992033204149
60,170.25000000000003,293.85797998632165
61,-221.32500000000002,244.71103832155472
62,323.4750000000001,-69.82938833295339
63,-323.475,-69.82938833295339
64,323.4750000000001,-89.48816499886013
65,-204.3,234.88164998860134
66,340.50000000000006,-60.0
67,317.80000000000007,-79.65877666590676
68,-323.475,-89.48816499886013
69,170.25000000000003,234.88164998860134
70,-170.25000000000003,274.1992033204149
71,227.00000000000003,254.5404266545081
72,-170.25000000000003,234.88164998860134
73,-317.80000000000007,-79.65877666590676
74,-329.15000000000003,-99.31755333181351
75,-329.15000000000003,-60.0
76,-170.25000000000003,293.85797998632165
77,329.15000000000003,-99.31755333181351
78,-238.35000000000002,254.5404266545081
79,-175.925,225.05226165564795
80,175.92500000000004,225.05226165564795
81,-187.275,225.05226165564795
82,187.27500000000003,225.05226165564795
83,164.57500000000005,264.3698149874615
84,164.57500000000005,244.71103832155472
85,204.3,234.88164998860134
86,-164.57500000000002,244.71103832155472
87,329.15000000000003,-60.0
88,238.35000000000002,254.5404266545081
