package_id,task_count,latitude,longitude,spread_km,compactness,bundle_logit_bonus,task_ids,average_price,total_reward,average_probability,expected_completions
P0001,2,22.5347001431838,113.934484982603,0.0,1.0,0.3833959286127792,C0211;C1332,85.0,170.0,0.5376590648860553,1.0753181297721106
P0002,2,22.5630554549513,113.902641980048,0.0,1.0,0.3833959286127792,C1213;C1216,85.0,170.0,0.5602293359098356,1.1204586718196712
P0003,2,22.5663424852007,113.899718091733,0.0,1.0,0.3833959286127792,C0203;C1310,85.0,170.0,0.5260156687134314,1.0520313374268628
P0004,2,22.5664885374929,113.88112508287,0.0,1.0,0.3833959286127792,C0210;C1322,85.0,170.0,0.5540647525930118,1.1081295051860236
P0005,2,22.5707350001756,113.888782000085,0.0,1.0,0.3833959286127792,C0157;C1261,85.0,170.0,0.4659665021932199,0.9319330043864398
P0006,2,22.5714904549216,113.905247852942,0.0,1.0,0.3833959286127792,C1320;C1323,85.0,170.0,0.4514037642372978,0.9028075284745956
P0007,5,22.5717078092983,113.90542860279,0.0,1.0,0.7315864067249581,C0111;C0122;C0127;C1187;C1192,85.0,425.0,0.5382830668836195,2.6914153344180973
P0008,2,22.5762207418879,113.876787510513,0.0,1.0,0.3833959286127792,C0163;C1266,85.0,170.0,0.5242752456969367,1.0485504913938735
P0009,2,22.5775760965697,113.882384701229,0.0,1.0,0.3833959286127792,C1285;C1287,85.0,170.0,0.46829658875370006,0.9365931775074001
P0010,2,22.5815610562298,113.891168367536,0.0,1.0,0.3833959286127792,C1265;C1268,85.0,170.0,0.4374147937387624,0.8748295874775248
P0011,3,22.581752421222195,114.11135263467501,1.8189894035458565e-12,0.9999999999948029,0.5374726696932581,C0131;C1214;C1215,85.0,255.0,0.6288354819729636,1.8865064459188907
P0012,4,22.584666982242,113.911769609332,0.0,1.0,0.6467918572255584,C0146;C1194;C1195;C1199,85.0,340.0,0.5580496175993344,2.2321984703973374
P0013,3,22.585059957126003,113.88040378846101,0.0,1.0,0.5374726696938817,C0135;C1218;C1221,85.0,255.0,0.5428311940416853,1.628493582125056
P0014,3,22.585516159146504,113.893310141668,0.0,1.0,0.5374726696938817,C0158;C0161;C1269,85.0,255.0,0.48780743670694493,1.4634223101208348
P0015,2,22.5868013484728,113.893614193829,0.0,1.0,0.3833959286127792,C0176;C1292,85.0,170.0,0.47460223353903136,0.9492044670780627
P0016,4,22.5869958653817,113.870993589094,0.0,1.0,0.6467918572255584,C0198;C0204;C1312;C1313,85.0,340.0,0.6424935804101983,2.5699743216407933
P0017,2,22.5875050732545,113.90718317401,0.0,1.0,0.3833959286127792,C0167;C1279,85.0,170.0,0.47388743377196346,0.9477748675439269
P0018,2,22.5878796368076,113.86618478004,0.0,1.0,0.3833959286127792,C1207;C1209,85.0,170.0,0.6219763828902206,1.2439527657804412
P0019,4,22.5905127748192,113.896099419801,0.0,1.0,0.6467918572255584,C0168;C0171;C1264;C1267,85.0,340.0,0.5826763706050453,2.330705482420181
P0020,2,22.5931061966206,113.90219127592,0.0,1.0,0.3833959286127792,C0165;C1274,85.0,170.0,0.5448336603809725,1.089667320761945
P0021,2,22.5940737174318,113.894892198704,0.0,1.0,0.3833959286127792,C0159;C1258,85.0,170.0,0.5614894900543141,1.1229789801086283
P0022,2,22.5950921617419,114.12096452429,0.0,1.0,0.3833959286127792,C1124;C1128,85.0,170.0,0.5534166191230373,1.1068332382460746
P0023,5,22.6574622868825,114.347695727712,0.0,1.0,0.7315864067249581,C0011;C0034;C0039;C0046;C0052,79.5,397.5,0.7539332326460211,3.7696661632301054
P0024,5,22.6574622868825,114.347695727712,0.0,1.0,0.7315864067249581,C0077;C0110;C0999;C1002;C1003,79.5,397.5,0.7539332326460211,3.7696661632301054
P0025,5,22.6574622868825,114.347695727712,0.0,1.0,0.7315864067249581,C1051;C1052;C1054;C1055;C1084,79.5,397.5,0.7539332326460211,3.7696661632301054
