sample_datetime,date,year,month,sample_time,sampling_level,risk_score,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,change_strength,reason
2022-01-01 09:00,2022-01-01,2022,1,09:00,base_regular,0.11873432825789865,580.6329575482999,1147.3192470497067,0.0,base-period regular sample
2022-01-11 09:00,2022-01-11,2022,1,09:00,base_regular,0.24930528191433177,417.3129029693515,480.28100699476647,0.07912643713332113,base-period regular sample
2022-01-21 09:00,2022-01-21,2022,1,09:00,base_regular,0.03226178714178688,363.85409277626997,336.37546163108055,0.011063274711821336,base-period regular sample
2022-01-31 09:00,2022-01-31,2022,1,09:00,base_regular,0.06769193781416483,367.19152695430813,363.16733832141017,0.02214222937926813,base-period regular sample
2022-02-01 09:00,2022-02-01,2022,2,09:00,base_regular,0.08451890631148791,370.924883330843,373.3159990047145,0.027486875137107347,base-period regular sample
2022-02-11 09:00,2022-02-11,2022,2,09:00,base_regular,0.21496330272842995,451.4374703194389,600.5732974909438,0.05603512633364627,base-period regular sample
2022-02-21 09:00,2022-02-21,2022,2,09:00,base_regular,0.2855674298150189,595.2557371924279,1091.460364323291,0.06012621112389649,base-period regular sample
2022-03-01 09:00,2022-03-01,2022,3,09:00,base_regular,0.33249255539843914,733.7061576963143,1746.845235622302,0.06054616379351163,base-period regular sample
2022-03-11 09:00,2022-03-11,2022,3,09:00,base_regular,0.31359866940012765,896.2107866128672,2854.5278774606763,0.03714763101686369,base-period regular sample
2022-03-21 09:00,2022-03-21,2022,3,09:00,base_regular,0.2306105349245965,971.1409642536142,3356.103371700553,0.0012435654773259586,base-period regular sample
2022-03-31 09:00,2022-03-31,2022,3,09:00,base_regular,0.22978771437249323,993.851845840777,3338.6982791020273,0.000794766894159693,base-period regular sample
2022-04-01 09:00,2022-04-01,2022,4,09:00,base_regular,0.23845693114809707,996.555651963828,3351.678600047694,0.0038791411353820138,base-period regular sample
2022-04-06 09:00,2022-04-06,2022,4,09:00,base_regular,0.26130559082360677,1011.1733780905007,3463.6733208730966,0.009968169069949795,base-period regular sample
2022-04-11 09:00,2022-04-11,2022,4,09:00,base_regular,0.2981025758256328,1037.3999139765033,3746.6759288653343,0.02094246846434622,base-period regular sample
2022-04-16 09:00,2022-04-16,2022,4,09:00,base_regular,0.34422625181171185,1090.0928394590715,4334.798019113717,0.03297604059495285,base-period regular sample
2022-04-21 09:00,2022-04-21,2022,4,09:00,base_regular,0.37633437001054704,1167.8244571249338,5203.074498736442,0.038126406122701795,base-period regular sample
2022-04-26 09:00,2022-04-26,2022,4,09:00,base_regular,0.3755928623333888,1256.256223996682,6206.633186959825,0.031253985046184596,base-period regular sample
2022-05-01 09:00,2022-05-01,2022,5,09:00,base_regular,0.34698725393535007,1321.1985937624772,6941.565748096886,0.016914701664161313,base-period regular sample
2022-05-06 09:00,2022-05-06,2022,5,09:00,base_regular,0.3267193646554653,1356.6265946593335,7335.055663545751,0.007557792898220228,base-period regular sample
2022-05-11 09:00,2022-05-11,2022,5,09:00,base_regular,0.31023891368221773,1368.3687681402075,7448.334274818083,0.0007968141103109616,base-period regular sample
2022-05-16 09:00,2022-05-16,2022,5,09:00,base_regular,0.3124155550360291,1371.5116997661764,7483.576518884848,0.001238302291971749,base-period regular sample
2022-05-21 09:00,2022-05-21,2022,5,09:00,base_regular,0.3109050344697199,1373.1370549826054,7496.719698513151,0.00046375102691520453,base-period regular sample
2022-05-26 09:00,2022-05-26,2022,5,09:00,base_regular,0.322787166402157,1364.6494349061427,7358.126064918617,0.005386052255623497,base-period regular sample
