glass_type,component,n,mean,median,q25,q75
铅钡,SiO2,40,58.18765333553919,60.76804541490915,51.81995297564969,66.45272093478329
铅钡,Na2O,40,1.1363705982674939,0.18490508314020843,0.06360447177803684,2.2634650486910397
铅钡,K2O,40,0.3181890632528325,0.21967378041877494,0.15356197422086806,0.3638530680953237
铅钡,CaO,40,1.0892680121958815,0.8721787066382161,0.47414702680358567,1.2734531259791682
铅钡,MgO,40,0.7262018498388075,0.7441213259274948,0.09924562312598509,1.1358350981821757
铅钡,Al2O3,40,4.615970418321784,3.9190034896729316,2.307409042758466,5.9872899188999575
铅钡,Fe2O3,40,0.4667935835188105,0.11134836080109067,0.021749538484809,0.4853870289979717
铅钡,CuO,40,1.3982702056543075,0.7046004043017362,0.43196287015023005,1.8496622568719059
铅钡,PbO,40,21.15119388059583,19.063502752664363,16.686620604720154,25.72943913144107
铅钡,BaO,40,8.973724186187557,6.597418424537358,4.803957305983504,10.380502492565638
铅钡,P2O5,40,0.690412442751675,0.3086452341723351,0.09229671017538202,0.717697388951918
铅钡,SrO,40,0.34403577992526546,0.2685587367305572,0.19088079384866644,0.4728837699516969
铅钡,SnO2,40,0.10186078817828874,0.08976722982991925,0.0,0.1200681136403834
铅钡,SO2,40,0.800055855772279,0.0687310495540378,0.0,0.11345728066307378
高钾,SiO2,16,68.3454018368702,68.09102728979394,64.29061047927021,71.39494304184603
高钾,Na2O,16,0.5679517022272332,0.09520922504111913,0.0,0.10974256236578885
高钾,K2O,16,9.60348382771469,10.393504202300711,8.524642325501773,12.494899061946137
高钾,CaO,16,6.271482522604155,6.94339029261989,4.576113446016327,8.3357528644847
高钾,MgO,16,1.7767485200024713,1.0956397742122284,0.8351432571799338,1.67649046669425
高钾,Al2O3,16,6.781386305169031,6.2814189172602815,5.209987077472867,8.328033579367508
高钾,Fe2O3,16,1.8739087591226313,2.0466045170344236,1.4294766059821256,2.3648291340919627
高钾,CuO,16,2.535908594390346,2.6455491838371357,1.4314689679780757,3.3440174135804877
高钾,PbO,16,0.32275522041048094,0.2144027956962201,0.0,0.2401327816350578
高钾,BaO,16,0.3306906230347922,0.10132466556194243,0.0,0.1167915023446709
高钾,P2O5,16,1.2148457022556365,1.0452584479705926,0.7575831320062104,1.4237050416411743
高钾,SrO,16,0.06611267215525261,0.06707457889601595,0.0,0.1177757997119187
高钾,SnO2,16,0.18872506619020904,0.0,0.0,0.10146468984968984
高钾,SO2,16,0.12059864785287176,0.10180811909946678,0.0,0.11734875328301024
