year,evidence_grade,pre_source,post_source,pre_date,post_date,window_days,domain,cross_attachment_bias_correction_m,lower_distance_m,upper_distance_m,grid_points,net_section_change_m2,erosion_area_m2,deposition_area_m2,mean_bed_change_m,max_erosion_m,max_erosion_distance_m,max_deposition_m,max_deposition_distance_m,conveyance_area_change_proxy_m2
2016,B,attachment2,attachment2,2016-06-08,2016-10-20,134,full_common,0.0,0.0,6150.0,1231,979.8933268873626,581.183753328591,1561.0770802159536,0.1592028150913668,4.840218158139301,1710.0,5.862920000000003,40.0,-979.8933268873626
2016,B,attachment2,attachment2,2016-06-08,2016-10-20,134,interior_1725_2050,0.0,1725.0,2050.0,66,-91.67783462665378,97.8081275571973,6.130292930543515,-0.2968810449177552,2.543017902468648,1725.0,0.24574089267090216,2030.0,91.67783462665378
2016,B,attachment2,attachment2,2016-06-08,2016-10-20,134,main_channel_2005_2040,0.0,2005.0,2040.0,8,1.997693621827743,1.7808664793446916,3.7785601011724346,0.0507779453255619,0.1576652469559221,2005.0,0.24574089267090216,2030.0,-1.997693621827743
2017,B,attachment2,attachment2,2017-05-11,2017-09-05,117,full_common,0.0,0.0,6150.0,1231,374.31818753422294,274.06110200881153,648.3792895430344,0.060815302605072764,2.430069709391404,1630.0,3.0348975324637024,2295.0,-374.31818753422294
2017,B,attachment2,attachment2,2017-05-11,2017-09-05,117,interior_1725_2050,0.0,1725.0,2050.0,66,327.9905255539655,3.1348793761902805,331.12540493015575,0.9950702120265182,0.22642441730010887,1735.0,1.7858424698608886,1915.0,-327.9905255539655
2017,B,attachment2,attachment2,2017-05-11,2017-09-05,117,main_channel_2005_2040,0.0,2005.0,2040.0,8,26.026294067531293,0.0,26.026294067531293,0.7503835890032944,0.0,2040.0,1.1401324172363019,2005.0,-26.026294067531293
2018,C,attachment3,attachment2,2018-04-04,2018-09-13,162,full_common,0.011531256435420002,1965.0,2175.0,43,755.9117024202159,0.0,755.9117024202159,3.557312010959874,0.0,1965.0,7.045783948079631,2100.0,-755.9117024202159
2018,C,attachment3,attachment2,2018-04-04,2018-09-13,162,interior_1725_2050,0.011531256435420002,1965.0,2050.0,18,161.57460136860757,0.0,161.57460136860757,1.8752448264080384,0.0,1965.0,2.846647209968836,2050.0,-161.57460136860757
2018,C,attachment3,attachment2,2018-04-04,2018-09-13,162,main_channel_2005_2040,0.011531256435420002,2005.0,2040.0,8,80.77985602939754,0.0,80.77985602939754,2.311644322298844,0.0,2005.0,2.6906478241083818,2040.0,-80.77985602939754
2019,B,attachment2,attachment2,2019-04-13,2019-10-15,185,full_common,0.0,0.0,4590.0,919,-613.9440376625968,2043.2114984341404,1429.2674607715435,-0.13394015641721224,3.7630291147796413,1520.0,3.858495924322362,2155.0,613.9440376625968
2019,B,attachment2,attachment2,2019-04-13,2019-10-15,185,interior_1725_2050,0.0,1725.0,2050.0,66,-25.467423299300922,87.1993242144494,61.7319009151485,-0.05827285678324573,1.1708477370235428,2015.0,1.6826055486516367,2050.0,25.467423299300922
2019,B,attachment2,attachment2,2019-04-13,2019-10-15,185,main_channel_2005_2040,0.0,2005.0,2040.0,8,-32.94777938308197,32.94777938308197,0.0,-0.9219237684429302,1.1708477370235428,2015.0,0.0,2040.0,32.94777938308197
2020,A,attachment3,attachment3,2020-04-17,2020-07-29,103,full_common,0.0,1695.0,2065.0,75,87.1726085094796,14.544328106463151,101.71693661594277,0.22476709817984394,0.9026641771689796,1695.0,0.9430865891068052,1740.0,-87.1726085094796
2020,A,attachment3,attachment3,2020-04-17,2020-07-29,103,interior_1725_2050,0.0,1725.0,2050.0,66,72.19217212647125,10.935048444324842,83.12722057079608,0.2291827286347934,0.15285895015986029,1995.0,0.9430865891068052,1740.0,-72.19217212647125
2020,A,attachment3,attachment3,2020-04-17,2020-07-29,103,main_channel_2005_2040,0.0,2005.0,2040.0,8,8.915467686537717,0.9737113696313671,9.889179056169084,0.2652717359468193,0.12291655496331089,2005.0,0.8010772554973329,2040.0,-8.915467686537717
2021,A,attachment3,attachment3,2021-04-16,2021-07-22,97,full_common,0.0,1690.0,2065.0,76,126.33926763493045,38.87179834482051,165.21106597975094,0.33674213334114367,0.5,1965.0,1.292711203722014,1735.0,-126.33926763493045
2021,A,attachment3,attachment3,2021-04-16,2021-07-22,97,interior_1725_2050,0.0,1725.0,2050.0,66,92.06285406023197,38.87179834482051,130.93465240505247,0.2909266258394494,0.5,1965.0,1.292711203722014,1735.0,-92.06285406023197
2021,A,attachment3,attachment3,2021-04-16,2021-07-22,97,main_channel_2005_2040,0.0,2005.0,2040.0,8,5.516861379177431,1.9133592796984011,7.430220658875832,0.15266430622858884,0.2745525508616353,2005.0,0.5104368988480843,2040.0,-5.516861379177431
2022,A*,attachment3,attachment3,2022-04-18,2022-07-23,96,full_common,0.0,1705.0,2075.0,75,43.16489900431518,35.801725716318714,78.96662472063392,0.11576915732074838,1.2450764896648892,1705.0,1.3840558695023617,2070.0,-43.16489900431518
2022,A*,attachment3,attachment3,2022-04-18,2022-07-23,96,interior_1725_2050,0.0,1725.0,2050.0,66,30.969528674713764,15.920414703848902,46.88994337856266,0.09520138464410427,0.7640235220466067,1725.0,0.9427948251828653,2050.0,-30.969528674713764
2022,A*,attachment3,attachment3,2022-04-18,2022-07-23,96,main_channel_2005_2040,0.0,2005.0,2040.0,8,7.6280461631131224,0.0,7.6280461631131224,0.23432238700809815,0.0,2025.0,0.37668972688432234,2040.0,-7.6280461631131224
