mirror_id,x_m,y_m,annual_optical_efficiency,annual_cosine_efficiency,annual_atmospheric_efficiency,annual_shadow_blocking_efficiency,annual_truncation_efficiency
1,-51.075,-345.05226165564795,0.4241680681058701,0.565179740897285,0.9597436890652706,0.9005208333333333,0.9548297332319718
2,-39.72500000000001,-345.05226165564795,0.4316619547251516,0.564678032420397,0.9599262234655582,0.9116536458333333,0.9582875726670589
3,-28.375000000000004,-345.05226165564795,0.43761950185488724,0.5642976640810535,0.9600638983598134,0.921484375,0.9606966314339223
4,-17.025000000000002,-345.05226165564795,0.4425232506246602,0.564042106607879,0.9601560550973944,0.9288411458333333,0.9638528889814387
5,-5.675000000000001,-345.05226165564795,0.445517633305499,0.5639137276746315,0.9602022464981828,0.9325520833333333,0.9669098561258465
6,5.675000000000001,-345.05226165564795,0.4460012727672772,0.5639137276746317,0.9602022464981828,0.9328776041666667,0.9677229092961006
7,17.025000000000002,-345.05226165564795,0.4430851634374103,0.564042106607879,0.9601560550973944,0.9287760416666667,0.9646802924284952
8,28.375000000000004,-345.05226165564795,0.437525000192468,0.5642976640810535,0.9600638983598134,0.92109375,0.9604068672941257
9,39.72500000000001,-345.05226165564795,0.43108527956718723,0.564678032420397,0.9599262234655582,0.9117838541666666,0.9568658433435249
10,51.075,-345.05226165564795,0.4224581586823055,0.565179740897285,0.9597436890652706,0.8983072916666667,0.9534853426877389
11,-90.80000000000001,-335.22287332269457,0.37242070264414245,0.5709472646740834,0.9597209543084854,0.7978515625,0.952102849780464
12,-79.45000000000002,-335.22287332269457,0.3893209155278105,0.5700370295399217,0.9600638983598134,0.8288411458333333,0.9533364905773951
13,-68.10000000000001,-335.22287332269457,0.4054600218307983,0.5692307216697005,0.9603645155463599,0.858984375,0.9546325990726862
14,-56.75000000000001,-335.22287332269457,0.4205725191046024,0.5685353507969139,0.9606214211118579,0.8887369791666667,0.9545363033632464
15,-45.400000000000006,-335.22287332269457,0.4331528591006901,0.5679571909964988,0.9608333898771023,0.9110677083333333,0.9566741183811275
16,-34.050000000000004,-335.22287332269457,0.4407732599951519,0.5675016248786815,0.9609993808103978,0.9228515625,0.9595463879375162
17,-22.700000000000003,-335.22287332269457,0.4468334996705776,0.5671730026676907,0.9611185590180038,0.9319661458333334,0.9630856222226684
