month,solar_time,solar_altitude_deg,dni_kw_m2,avg_optical_efficiency,avg_cosine_efficiency,avg_shadow_blocking_efficiency,avg_truncation_efficiency,field_power_mw,unit_area_power_kw_m2,required_neighbor_radius_m
1.0,9.0,17.430915460183293,0.7925396841601171,0.41498410072336683,0.7460258314364102,0.6945519140376035,0.9568000344219292,40.9625055811891,0.32889136811876735,43.21545230505612
1.0,10.5,27.206169753432686,0.9100911454852127,0.4684356225620906,0.7776746788894237,0.7454949908381134,0.9481046630450922,53.09686027277359,0.42631911232361186,43.21545230505612
1.0,12.0,30.83375539142462,0.9391840362887128,0.4984930980931872,0.7885345081998393,0.7909571183875079,0.9350690127070709,58.31011391779235,0.46817675992922486,43.21545230505612
1.0,13.5,27.206169753432686,0.9100911454852127,0.46912151186625306,0.7775625218229838,0.7454377290471638,0.9498043857336782,53.174605360447565,0.4269433341061131,43.21545230505612
1.0,15.0,17.430915460183293,0.7925396841601171,0.4158567398842215,0.7458070281334063,0.6954170650095602,0.9574871962613832,41.048642583629835,0.3295829692836969,43.21545230505612
2.0,9.0,24.830779231476313,0.8875714408097994,0.47355293934989134,0.7578190417963467,0.7769777724665392,0.9462241444149414,52.348699188167195,0.42031206467849863,43.21545230505612
2.0,10.5,35.77279809753639,0.9708000370097123,0.5001093930283496,0.7906785730525925,0.7877541925589547,0.9326937281845613,60.468449652551946,0.4855062172608265,43.21545230505612
2.0,12.0,39.96981305979434,0.9921771917861092,0.5096842056645565,0.8019254992087983,0.7932401210962396,0.9296843453140794,62.983160976723916,0.5056970438739935,43.21545230505612
2.0,13.5,35.77279809753639,0.9708000370097123,0.5006860634505071,0.7905621253557112,0.7877666407743786,0.9340856275176604,60.53817513036632,0.48606604892799954,43.21545230505612
2.0,15.0,24.830779231476313,0.8875714408097994,0.47474328177801084,0.7575913378544625,0.777895205943276,0.9478444456533653,52.48028506278152,0.4213685786224817,43.21545230505612
